time,gFx,gFy,gFz
2.911,0.1727,0,0.9811
2.931,0.1373,-0.0157,1.0007
2.951,0.1491,-0.0078,0.985
2.984,0.1452,0.0078,0.985
2.986,0.1766,0.0039,1.0007
3.001,0.1766,-0.0039,0.9811
3.021,0.1256,-0.0118,1.0125
3.032,0.1727,0,0.9614
3.051,0.153,-0.0078,0.9928
3.088,0.1766,-0.0078,0.9889
3.091,0.1452,-0.0078,0.9928
3.101,0.1334,0,1.0007
3.121,0.1805,-0.0039,0.9811
3.141,0.1766,-0.0118,0.9968
3.179,0.157,-0.0039,0.985
3.181,0.1413,-0.0118,0.9968
3.191,0.157,-0.0039,0.9889
3.211,0.1884,-0.0039,0.9928
3.231,0.157,-0.0157,0.9928
3.24,0.1766,-0.0039,0.9771
3.285,0.1217,-0.0078,0.9928
3.287,0.1962,-0.0118,0.9771
3.301,0.1884,-0.0196,0.9928
3.311,0.1217,-0.0039,1.0007
3.331,0.1844,-0.0039,0.9811
3.376,0.1295,-0.0078,1.0046
3.379,0.2119,-0.0118,0.9732
3.381,0.1138,-0.0078,0.9811
3.401,0.1452,-0.0078,0.9889
3.421,0.1805,0.0078,0.9732
3.47,0.1452,-0.0118,0.9968
3.472,0.2041,-0.0118,0.9771
3.474,0.0903,-0.0039,1.0125
3.573,0.2001,-0.0078,0.9575
3.575,0.1413,0,0.9968
3.577,0.1805,-0.0157,0.9889
3.579,0.1452,0.0039,0.9811
3.581,0.1217,-0.0039,0.985
3.583,0.2041,0.0039,0.9614
3.595,0.1334,0,0.9928
3.612,0.1884,-0.0078,0.9811
3.657,0.1256,0.0039,0.985
3.659,0.1687,-0.0118,0.9968
3.661,0.1844,-0.0157,0.9811
3.681,0.1177,-0.0157,1.0046
3.717,0.1648,-0.0039,0.9889
3.719,0.1413,0,0.9928
3.735,0.1923,-0.0157,1.0007
3.752,0.1687,0.0039,0.9771
3.771,0.1217,-0.0118,1.0046
3.816,0.1727,-0.0039,0.985
3.819,0.1295,0.0078,0.9928
3.821,0.1884,-0.0118,0.9654
3.841,0.1334,-0.0039,0.9968
3.85,0.1491,-0.0039,0.9968
3.909,0.1648,0,0.9811
3.911,0.1766,-0.0078,0.9889
3.913,0.153,-0.0078,0.9811
3.921,0.1295,0,0.985
3.941,0.157,-0.0078,0.9889
3.988,0.1805,0.0039,0.9732
3.991,0.1334,-0.0196,1.0046
3.993,0.157,0,0.985
4.011,0.1413,0.0078,0.9889
4.031,0.1805,0.0078,0.985
4.085,0.1805,-0.0078,0.9811
4.087,0.1256,-0.0118,1.0046
4.089,0.1805,0.0039,0.985
4.103,0.1491,-0.0039,0.9968
4.121,0.2001,-0.0157,0.9811
4.147,0.1452,-0.0118,0.9928
4.158,0.1256,-0.0039,0.9811
4.19,0.2001,-0.0039,0.9811
4.199,0.1413,-0.0078,1.0007
4.207,0.1844,-0.0078,0.9614
4.258,0.0981,-0.0039,0.9928
4.26,0.1687,-0.0078,0.9693
4.264,0.1727,0,0.9928
4.273,0.1609,-0.0039,0.985
4.31,0.1687,-0.0078,0.9771
4.312,0.1256,0.0039,1.0046
4.331,0.2119,-0.0078,0.9732
4.345,0.1334,-0.0078,1.0007
4.361,0.157,-0.0196,0.985
4.376,0.1491,-0.0039,0.985
4.421,0.1334,0.0039,0.9928
4.426,0.2158,0,0.9654
4.438,0.1177,-0.0118,1.0085
4.461,0.1687,-0.0157,0.9693
4.471,0.1373,0,0.9889
4.513,0.1766,-0.0078,0.9968
4.517,0.1805,-0.0157,0.9771
4.521,0.1099,0.0039,1.0125
4.542,0.1923,-0.0118,0.9614
4.551,0.1295,0.0078,1.0007
4.609,0.2041,-0.0078,0.9771
4.611,0.1099,-0.0039,0.9928
4.613,0.1609,-0.0039,0.985
4.622,0.1648,0,0.9771
4.641,0.1766,-0.0157,0.9928
4.696,0.153,-0.0157,0.9732
4.699,0.1177,0,0.9928
4.701,0.1727,-0.0078,0.9968
4.712,0.1805,-0.0039,0.9811
4.731,0.1373,-0.0078,1.0046
4.751,0.157,-0.0039,0.9811
4.761,0.1413,0.0039,0.9968
4.803,0.1844,0.0078,0.9811
4.805,0.1609,-0.0118,0.985
4.811,0.1177,0,0.9968
4.831,0.1727,-0.0078,0.9771
4.851,0.1491,-0.0039,0.9889
4.872,0.1844,0,0.9811
4.931,0.153,-0.0039,0.985
4.933,0.1295,-0.0078,0.9928
4.936,0.1844,-0.0039,0.9771
4.943,0.1609,-0.0039,1.0046
4.951,0.1687,-0.0157,0.9771
5.093,0.1373,-0.0039,1.0046
5.096,0.157,-0.0039,0.9771
5.101,0.1884,-0.0078,0.9889
5.105,0.1452,-0.0157,0.9968
5.107,0.1805,-0.0039,0.985
5.11,0.1217,0,0.9968
5.112,0.2158,-0.0039,0.9889
5.119,0.1609,-0.0078,0.985
5.123,0.1217,0,0.9968
5.151,0.1805,0,0.9732
5.153,0.1256,-0.0039,1.0046
5.16,0.2433,-0.0118,0.9614
5.225,0.102,-0.0039,0.9968
5.232,0.1687,-0.0118,0.9771
5.234,0.1609,0.0078,0.9771
5.323,0.1609,-0.0078,0.9928
5.325,0.2001,-0.0078,0.9614
5.327,0.0824,-0.0078,0.9968
5.329,0.2041,-0.0118,0.9732
5.331,0.1413,0,0.9968
5.333,0.2041,-0.0157,0.985
5.341,0.1217,-0.0078,0.9928
5.38,0.1295,-0.0039,0.9889
5.383,0.2041,0.0039,0.9771
5.391,0.1491,0,1.0085
5.437,0.1844,-0.0196,0.9889
5.441,0.1099,0.0039,0.9968
5.443,0.1805,0,0.9968
5.461,0.1805,-0.0039,0.985
5.481,0.1177,-0.0039,1.0007
5.502,0.1805,0,0.985
5.51,0.1217,-0.0078,0.9928
5.562,0.2001,-0.0078,0.9889
5.564,0.1452,-0.0078,1.0046
5.57,0.1256,-0.0118,1.0007
5.581,0.157,0.0039,0.9732
5.601,0.153,0,0.9928
5.622,0.1844,-0.0118,0.985
5.654,0.1452,0.0039,0.9889
5.657,0.1413,-0.0078,0.9889
5.672,0.1609,0.0039,0.9732
5.691,0.1805,-0.0078,1.0007
5.71,0.1609,0.0039,0.9811
5.743,0.1295,-0.0039,0.985
5.745,0.1491,0,0.9889
5.761,0.1962,0,0.9889
5.781,0.153,-0.0118,1.0046
5.795,0.153,-0.0078,0.985
5.81,0.1373,0.0039,0.9968
5.851,0.1805,0.0039,0.9928
5.853,0.1962,-0.0078,0.985
5.86,0.102,0,1.0085
5.881,0.1884,-0.0039,0.9771
5.901,0.1295,0.0039,1.0007
5.921,0.208,-0.0157,0.9693
5.958,0.1217,-0.0078,0.9928
5.96,0.1373,-0.0039,0.985
5.97,0.1962,0.0039,0.9811
5.991,0.1334,0,0.9928
6.001,0.2041,-0.0157,0.9654
6.048,0.106,-0.0078,0.9889
6.05,0.1884,-0.0039,0.9732
6.061,0.1491,0,0.9968
6.071,0.1491,-0.0078,1.0046
6.091,0.1727,0,0.9771
6.141,0.0863,0,0.9968
6.143,0.2158,-0.0039,0.9614
6.145,0.1334,0,0.9968
6.161,0.1805,-0.0118,0.9811
6.181,0.1295,-0.0039,0.9889
6.193,0.1491,-0.0078,0.9928
6.211,0.2158,-0.0039,0.9771
6.266,0.106,-0.0157,1.0007
6.268,0.1727,-0.0078,0.9693
6.27,0.1138,0.0078,0.9968
6.281,0.2237,-0.0157,0.9928
6.301,0.157,-0.0118,0.9811
6.321,0.1295,-0.0078,1.0085
6.368,0.1766,-0.0157,0.9732
6.372,0.1452,0.0039,0.985
6.38,0.1962,-0.0235,0.9732
6.395,0.1295,0.0039,1.0046
6.412,0.157,-0.0196,0.9889
6.425,0.1727,0,0.9771
6.471,0.1687,-0.0078,0.9889
6.473,0.157,-0.0039,0.985
6.477,0.1138,0.0078,0.9811
6.492,0.1805,0,0.9811
6.511,0.1727,0,0.9811
6.554,0.1648,-0.0118,0.9968
6.556,0.1413,0,0.9732
6.56,0.1452,0.0078,0.9771
6.581,0.1805,0.0039,0.9889
6.601,0.1923,-0.0078,0.9889
6.611,0.1256,0.0039,1.0085
6.66,0.1727,0,0.9693
6.662,0.1491,-0.0039,1.0007
6.67,0.2001,-0.0118,0.985
6.681,0.1452,0.0039,1.0046
6.701,0.1138,-0.0078,0.9968
6.755,0.2041,-0.0039,0.9889
6.758,0.153,0,1.0125
6.759,0.1844,-0.0118,0.9811
6.772,0.1177,-0.0118,1.0007
6.791,0.157,-0.0078,0.9811
6.811,0.1766,-0.0039,0.9928
6.882,0.1452,-0.0078,0.9889
6.884,0.1766,-0.0196,0.9889
6.887,0.0942,-0.0118,1.0007
6.889,0.2158,-0.0157,0.9732
6.892,0.1373,-0.0118,0.9811
6.912,0.153,-0.0118,0.9771
6.971,0.1727,-0.0118,0.985
6.973,0.1334,0,0.985
6.975,0.2315,-0.0196,0.9654
7.067,0.0981,-0.0078,0.9968
7.07,0.1884,-0.0078,0.9693
