time,gFx,gFy,gFz
12.706,0.1766,-0.0078,0.985
12.715,0.1334,0,0.9928
12.731,0.1844,-0.0078,0.9928
12.831,0.1844,-0.0157,0.985
12.834,0.1177,0,1.0085
12.836,0.1923,0.0039,0.9732
12.839,0.1373,0,1.0046
12.841,0.208,-0.0078,0.985
12.843,0.1413,-0.0039,0.9811
12.851,0.1295,0,0.9889
12.897,0.1962,-0.0039,0.9811
12.9,0.1373,-0.0118,0.9968
12.902,0.208,-0.0078,0.9811
12.921,0.0981,0.0078,1.0007
12.97,0.1727,-0.0078,0.9732
12.972,0.1766,0.0039,0.9928
12.974,0.1609,-0.0039,0.9928
13.001,0.1727,-0.0078,0.9732
13.018,0.1099,-0.0039,1.0125
13.031,0.2041,0,0.9614
13.102,0.1413,-0.0078,0.9889
13.105,0.153,-0.0078,0.9889
13.108,0.1491,0.0078,0.985
13.111,0.1452,0,0.9889
13.116,0.2198,-0.0118,0.9654
13.131,0.1099,-0.0039,1.0125
13.189,0.1687,0.0039,0.9654
13.192,0.1452,0.0078,0.9811
13.197,0.1766,-0.0118,0.9889
13.2,0.1805,-0.0078,0.985
13.221,0.0863,-0.0157,1.0125
13.241,0.2001,-0.0078,0.9732
13.291,0.1177,0.0039,1.0085
13.293,0.1962,-0.0235,0.985
13.297,0.1177,-0.0157,1.0085
13.314,0.1413,-0.0039,1.0046
13.321,0.1648,-0.0157,0.9889
13.343,0.1609,-0.0118,1.0125
13.394,0.1491,-0.0196,0.9928
13.397,0.1295,-0.0039,0.9968
13.4,0.157,-0.0157,1.0046
13.412,0.1727,0,0.985
13.427,0.1452,-0.0118,0.9968
13.444,0.157,-0.0118,0.985
13.461,0.1256,0,0.9968
13.5,0.1805,-0.0157,0.985
13.503,0.1609,-0.0039,0.9771
13.515,0.1334,-0.0039,1.0125
13.52,0.1334,-0.0118,1.0125
13.531,0.1687,0,0.985
13.555,0.1413,-0.0078,0.9928
13.575,0.1923,-0.0078,0.9811
13.58,0.1452,-0.0078,0.9928
13.634,0.1177,-0.0078,1.0007
13.638,0.208,-0.0039,0.9654
13.655,0.1884,-0.0078,0.9811
13.671,0.1373,0.0039,0.9928
13.758,0.1648,0.0157,0.9693
13.761,0.1923,0.0039,0.9811
13.763,0.1413,0.0039,0.9889
13.765,0.1805,0,0.985
13.77,0.1217,0.0039,0.9968
13.781,0.1962,-0.0078,0.9771
13.8,0.1766,-0.0078,0.9889
13.821,0.1217,0.0078,0.9889
13.833,0.1884,0.0039,0.9811
13.927,0.1099,-0.0039,0.9968
13.931,0.2394,-0.0039,0.9811
13.942,0.1099,-0.0118,0.9968
13.952,0.1609,0.0039,0.9693
14.067,0.157,-0.0039,0.9889
14.069,0.1609,-0.0118,0.9968
14.071,0.1962,-0.0157,0.9654
14.073,0.0824,-0.0118,1.0046
14.075,0.2119,-0.0157,0.9693
14.077,0.1413,-0.0039,1.0007
14.081,0.1844,-0.0078,0.985
14.083,0.1373,-0.0039,0.9928
14.086,0.1334,0,0.9928
14.09,0.1805,-0.0078,0.9732
14.11,0.1491,-0.0118,0.9889
14.112,0.1648,0,0.9928
14.132,0.1177,-0.0039,1.0007
14.179,0.153,-0.0078,0.9968
14.202,0.1805,-0.0118,0.9811
14.204,0.1334,-0.0157,1.0125
14.209,0.1687,-0.0039,0.9928
14.214,0.1295,-0.0039,1.0007
14.276,0.1884,-0.0078,1.0007
14.278,0.1609,-0.0078,0.985
14.281,0.1295,-0.0118,1.0085
14.287,0.1648,0.0039,0.985
14.301,0.153,0.0157,1.0007
14.371,0.1727,-0.0157,0.9811
14.373,0.1452,-0.0039,0.9928
14.375,0.1177,-0.0078,0.9968
14.377,0.1884,0,0.9654
14.391,0.153,0.0039,1.0046
14.456,0.157,-0.0078,0.9771
14.459,0.1491,-0.0078,0.985
14.461,0.153,-0.0078,0.9928
14.464,0.1962,0,0.985
14.481,0.1373,-0.0078,0.9889
14.545,0.153,0.0039,0.9693
14.551,0.1413,0,0.985
14.553,0.1844,-0.0039,0.9928
14.563,0.1962,0.0039,0.985
14.601,0.1256,0,1.0007
14.603,0.2001,0.0039,0.9614
14.606,0.1217,0.0039,0.9968
14.622,0.2355,-0.0118,0.9693
14.63,0.1177,-0.0078,0.9928
14.651,0.1687,0.0039,0.9968
14.708,0.1766,0,0.9575
14.71,0.1295,0,0.9889
14.712,0.2158,0.0039,0.9811
14.735,0.0824,-0.0078,1.0007
14.741,0.1923,-0.0118,0.9654
14.809,0.157,-0.0078,0.9889
14.812,0.1766,-0.0039,0.9928
14.814,0.153,-0.0118,0.9771
14.817,0.1099,-0.0118,0.9928
14.831,0.2001,0,0.9654
14.914,0.1452,-0.0078,1.0007
14.916,0.1687,0,0.9928
14.918,0.1256,0,0.9889
14.93,0.1609,-0.0078,1.0007
14.932,0.1923,-0.0118,0.9614
14.936,0.0981,0.0039,1.0085
14.952,0.1805,-0.0078,0.9928
15.009,0.1177,0,0.9889
15.012,0.2041,-0.0118,0.9968
15.014,0.1491,-0.0118,0.9811
15.033,0.1256,-0.0078,1.0085
15.044,0.1687,-0.0118,0.9889
15.057,0.1295,0.0078,0.9889
15.072,0.1844,-0.0157,0.9928
15.128,0.1373,-0.0118,0.9928
15.131,0.1256,-0.0078,1.0046
15.133,0.1648,0,0.9771
15.143,0.153,-0.0196,0.9928
15.197,0.1491,-0.0039,0.9928
15.2,0.1373,0,1.0007
15.203,0.153,0.0039,1.0007
15.213,0.1805,0,0.9889
15.235,0.1452,-0.0196,1.0125
15.245,0.157,-0.0039,0.9928
15.261,0.1373,0,0.985
15.312,0.1609,0,0.9928
15.315,0.1962,-0.0078,0.9889
15.317,0.1138,-0.0078,1.0125
15.321,0.1138,-0.0039,1.0125
15.332,0.1884,-0.0039,0.9811
15.363,0.1295,0.0039,0.9968
15.376,0.2001,-0.0078,0.9928
15.381,0.1334,-0.0039,0.9928
15.401,0.1177,-0.0039,0.9928
15.453,0.208,0.0078,0.9693
15.458,0.1373,0,1.0007
15.463,0.1884,-0.0078,0.9771
15.475,0.1177,-0.0078,0.9889
15.491,0.1766,-0.0078,0.9614
15.532,0.1923,-0.0039,0.985
15.535,0.1373,-0.0118,0.985
15.548,0.1766,0,0.9693
15.561,0.1099,0.0078,0.9889
15.581,0.2119,-0.0078,0.9693
15.643,0.1452,-0.0078,0.9811
15.646,0.1491,-0.0078,0.9968
15.649,0.1766,0.0039,0.985
15.764,0.1295,-0.0039,1.0046
15.767,0.2198,0,0.9732
15.769,0.1099,-0.0078,1.0046
15.771,0.1844,0.0039,0.9889
15.773,0.1295,0.0039,0.9968
15.775,0.1766,0,0.9968
15.777,0.1766,-0.0039,0.985
15.78,0.1138,0.0039,1.0007
15.792,0.1844,-0.0039,0.985
15.803,0.1373,-0.0039,0.985
15.861,0.1923,-0.0118,0.985
15.863,0.1373,0,0.9889
15.865,0.1334,-0.0118,0.9968
15.871,0.1884,-0.0078,0.9732
15.891,0.1609,-0.0039,0.9889
15.913,0.153,0,0.9732
15.932,0.1177,0.0078,0.9968
15.942,0.1687,-0.0118,0.9928
16.019,0.1805,-0.0118,0.9811
16.027,0.157,-0.0118,1.0007
16.03,0.1452,-0.0039,0.9889
16.033,0.153,-0.0078,0.9889
16.035,0.1687,-0.0118,1.0007
16.053,0.1648,-0.0078,0.9771
16.129,0.1256,-0.0078,1.0164
16.133,0.1648,-0.0118,0.9771
16.138,0.1648,-0.0039,0.9968
16.141,0.1805,-0.0078,0.985
16.144,0.157,-0.0118,0.9928
16.154,0.1138,-0.0039,0.9968
16.227,0.208,-0.0039,0.9771
16.23,0.157,0,0.9928
16.232,0.157,-0.0078,0.9889
16.234,0.1452,-0.0039,0.985
16.252,0.1373,0.0039,0.9771
16.271,0.1962,0,0.9811
16.315,0.1256,-0.0078,1.0007
16.325,0.1687,0.0039,0.9928
16.327,0.1295,0.0078,0.985
16.335,0.1766,-0.0039,0.9693
16.355,0.1727,-0.0118,0.9889
16.361,0.1099,0,1.0046
16.415,0.1923,-0.0078,0.9732
16.418,0.1177,-0.0039,1.0007
16.421,0.2237,-0.0039,0.9771
16.431,0.1138,0,0.9928
16.451,0.157,0,0.985
16.522,0.1727,0.0078,0.985
16.528,0.1491,-0.0078,0.9889
16.531,0.1962,0.0039,0.9654
16.536,0.0746,0,1.0085
16.553,0.2119,-0.0118,0.9614
16.57,0.1413,0.0118,0.9928
16.578,0.1727,-0.0118,0.9928
16.633,0.157,0,0.9928
16.637,0.1217,-0.0039,1.0085
16.649,0.2001,-0.0078,0.985
16.653,0.1373,-0.0078,1.0007
16.661,0.1648,-0.0157,1.0007
16.714,0.1177,-0.0118,0.9928
16.717,0.1766,-0.0078,0.9889
16.72,0.1805,-0.0078,0.9889
16.735,0.1295,-0.0078,1.0007
16.752,0.153,0,0.9811
16.771,0.1491,0.0039,0.9732
16.781,0.1844,-0.0078,0.9928
16.801,0.1491,-0.0039,0.9732
16.821,0.1334,-0.0157,1.0046
16.842,0.1805,0,0.9693
16.914,0.1491,-0.0039,0.9889
16.917,0.1805,-0.0157,0.9889
16.919,0.1413,0.0039,0.9968
16.921,0.1413,0,0.9968
16.923,0.1727,-0.0039,0.9771
16.941,0.1805,-0.0118,1.0007
16.998,0.1452,-0.0039,0.985
17.011,0.153,0.0039,0.9928
17.015,0.1413,0,1.0046
17.016,0.2041,-0.0078,0.9732
17.031,0.1413,-0.0118,1.0007
17.078,0.153,0.0039,0.985
17.082,0.1491,-0.0078,0.9968
17.084,0.1766,-0.0039,0.9889
17.101,0.2001,-0.0078,0.9811
17.116,0.2001,-0.0078,1.0007
17.121,0.1138,0,1.0007
17.131,0.1805,0.0039,0.9811
17.151,0.1452,-0.0078,1.0007
17.197,0.1844,-0.0235,0.9654
17.199,0.1491,-0.0039,0.9889
17.202,0.1256,-0.0078,0.9811
17.221,0.2001,0,0.9693
17.241,0.1177,-0.0118,0.9928
17.297,0.2119,-0.0118,0.9771
17.301,0.102,-0.0039,1.0007
17.303,0.1805,-0.0078,0.9693
17.315,0.1766,0.0078,0.9889
17.321,0.1295,-0.0078,1.0007
17.341,0.1766,0,0.9654
17.397,0.102,0.0078,0.9968
17.541,0.2158,0,0.9732
17.543,0.1373,-0.0039,0.9968
17.545,0.153,-0.0039,1.0085
17.55,0.1452,0,0.9889
17.552,0.1413,-0.0118,1.0046
17.554,0.1962,-0.0118,0.9732
17.556,0.102,0,1.0046
17.558,0.1648,0.0039,0.9928
17.56,0.1334,0.0078,0.9968
17.562,0.1687,-0.0157,1.0007
17.567,0.1727,-0.0078,0.9732
17.575,0.106,0,1.0085
17.601,0.1727,0.0039,0.9811
17.603,0.1295,-0.0078,0.9928
17.652,0.2001,-0.0196,0.985
17.654,0.1177,0,1.0007
17.666,0.1452,-0.0157,0.9968
17.671,0.1687,0,0.9771
17.722,0.1648,-0.0118,0.9811
17.725,0.1217,-0.0157,0.9889
17.731,0.1491,0,0.985
17.743,0.1609,-0.0078,0.9928
17.804,0.1727,-0.0039,0.9693
17.807,0.1373,-0.0078,1.0085
17.81,0.1334,-0.0078,0.985
17.813,0.1687,0.0039,0.9889
17.868,0.1727,-0.0039,0.9968
17.871,0.1844,-0.0078,0.985
17.874,0.1217,0,1.0125
17.883,0.1923,0,0.9811
17.901,0.153,0.0039,0.985
17.921,0.1766,-0.0118,0.9889
17.981,0.157,-0.0078,0.9889
17.985,0.1217,0,0.9928
17.987,0.208,0,0.9654
17.997,0.1334,0,1.0007
18.011,0.1805,-0.0157,0.9771
18.021,0.1334,0.0039,1.0007
18.041,0.1609,0,0.9771
18.086,0.1962,-0.0078,0.9771
18.089,0.1256,0,0.9968
18.097,0.1923,-0.0157,0.9614
18.111,0.1256,0,1.0007
18.131,0.1923,0.0039,0.9693
18.17,0.1687,0,0.9889
18.172,0.1334,-0.0039,0.9968
18.182,0.1884,-0.0078,0.9771
18.201,0.1334,0,0.9928
18.222,0.2119,-0.0078,0.9575
18.231,0.1099,-0.0078,1.0007
18.251,0.1648,-0.0118,0.9811
18.292,0.157,0,0.9889
18.294,0.1648,-0.0118,1.0085
18.305,0.1923,-0.0118,0.9811
18.322,0.0863,-0.0118,1.0085
18.341,0.2001,-0.0078,0.9771
18.384,0.1491,0.0039,1.0046
18.386,0.1727,-0.0196,1.0046
18.39,0.1256,0,0.9928
18.411,0.1452,0.0039,1.0007
18.431,0.2001,-0.0078,0.9889
18.441,0.1452,-0.0078,0.9889
18.461,0.1452,-0.0078,0.9968
18.504,0.1491,0.0078,0.9771
18.506,0.153,-0.0157,0.9968
18.523,0.1844,0,0.9771
18.538,0.1295,-0.0118,1.0046
18.551,0.1491,-0.0078,0.9811
18.618,0.153,-0.0118,0.985
18.626,0.157,-0.0039,0.9968
18.629,0.1727,-0.0118,0.985
18.639,0.1177,-0.0039,1.0085
18.643,0.1687,-0.0078,0.9889
18.663,0.1609,0.0039,0.9968
18.677,0.1727,-0.0118,0.9889
18.691,0.1491,-0.0078,0.985
18.758,0.1177,-0.0039,1.0007
18.762,0.2119,0.0078,0.9654
18.763,0.1609,0.0039,0.9928
18.765,0.1452,-0.0039,0.9889
18.781,0.1452,-0.0157,0.9889
18.791,0.1452,-0.0039,0.9811
18.86,0.2158,0,0.9654
18.862,0.1295,-0.0157,1.0007
18.865,0.1609,-0.0157,0.9889
18.867,0.1491,0,0.9889
18.885,0.1609,-0.0078,0.9771
18.901,0.1766,-0.0078,0.9771
18.965,0.0981,0.0039,1.0007
18.967,0.208,-0.0039,0.9771
18.969,0.1217,0.0039,0.9968
18.98,0.2001,-0.0039,0.9693
18.982,0.1138,0.0118,0.9928
19.001,0.153,-0.0039,0.9889
19.083,0.1844,-0.0039,0.9771
19.085,0.1295,-0.0118,0.9928
19.087,0.2001,0,0.9771
19.099,0.0942,0,1.0125
19.101,0.1844,0,0.985
19.111,0.153,0.0039,0.9928
19.236,0.1648,-0.0118,0.9928
19.239,0.1609,-0.0039,0.9811
19.241,0.1177,-0.0039,1.0085
19.243,0.2001,-0.0078,0.9928
19.245,0.1491,-0.0039,0.985
19.247,0.1413,0,1.0007
19.248,0.1452,0.0078,0.9811
19.258,0.1334,-0.0078,0.9928
19.267,0.2158,-0.0078,0.9654
19.281,0.1138,0,1.0085
19.341,0.157,-0.0039,0.9968
19.345,0.1452,0.0039,0.9771
19.351,0.1923,-0.0118,0.9928
19.355,0.157,-0.0157,0.9889
19.374,0.1099,-0.0039,1.0007
19.391,0.1727,0.0118,0.9654
19.442,0.1609,-0.0039,0.985
19.445,0.157,-0.0235,0.9928
19.447,0.1413,0,0.985
19.462,0.1295,-0.0118,1.0007
19.472,0.1923,0,0.9771
19.53,0.153,-0.0039,1.0046
19.533,0.1413,-0.0039,0.9928
19.535,0.1609,-0.0039,0.9889
19.543,0.1295,0,0.9968
19.561,0.1962,-0.0039,0.985
19.582,0.1452,-0.0118,1.0007
19.636,0.1452,0.0039,0.9771
19.642,0.1687,0.0078,0.9811
19.656,0.1648,0.0078,0.9928
19.668,0.2001,-0.0039,0.9693
19.683,0.1177,0.0039,1.0085
19.687,0.1727,0,0.9693
19.701,0.1413,0.0039,0.9968
19.737,0.1884,-0.0039,0.9693
19.743,0.1491,0.0039,1.0046
19.756,0.1177,-0.0157,1.0046
19.771,0.2041,-0.0039,0.9536
19.791,0.1334,-0.0157,0.9889
19.811,0.1844,-0.0118,0.9771
19.852,0.1217,-0.0039,0.9968
19.855,0.1766,0,0.9811
19.863,0.1884,-0.0078,0.9771
19.884,0.1295,-0.0157,1.0007
19.891,0.1805,-0.0078,0.9771
19.911,0.1099,0.0039,0.9928
19.964,0.2001,-0.0118,0.9732
19.966,0.153,-0.0118,0.9968
19.968,0.1373,-0.0078,1.0007
19.991,0.1687,-0.0078,0.9811
20.01,0.1295,0,1.0085
20.021,0.2198,-0.0157,0.9811
20.031,0.102,0,1.0085
20.079,0.1766,-0.0078,1.0007
20.081,0.1413,-0.0078,0.9889
20.095,0.1884,-0.0118,1.0007
20.108,0.1491,-0.0157,0.9811
20.122,0.1217,0,0.9968
20.179,0.1648,-0.0039,0.9889
20.193,0.153,0,0.985
20.195,0.1648,-0.0196,0.9771
20.197,0.1295,-0.0118,0.9771
20.255,0.1452,-0.0118,1.0085
20.257,0.1648,0,0.9732
20.259,0.1609,-0.0078,0.9889
20.262,0.1413,-0.0235,0.9968
20.291,0.1452,-0.0078,0.9928
20.306,0.1609,-0.0039,0.9928
20.311,0.1727,0.0039,0.9811
20.379,0.1413,-0.0196,0.9928
20.382,0.1295,0,0.9968
20.39,0.1805,0,0.985
20.392,0.153,-0.0039,1.0007
20.404,0.1962,-0.0039,0.9693
20.421,0.1177,-0.0039,1.0085
20.475,0.1727,0.0078,0.9732
20.477,0.1648,0,0.9889
20.479,0.1687,-0.0039,0.9889
20.494,0.1609,0.0118,0.9889
20.513,0.1177,0.0078,1.0007
20.525,0.2237,0,0.9693
20.543,0.1373,-0.0039,0.9928
20.596,0.1609,-0.0157,0.9811
20.598,0.1609,-0.0157,0.9889
20.601,0.1491,0,0.9889
20.603,0.1373,0.0039,0.9889
20.612,0.208,-0.0039,0.9771
20.631,0.1138,-0.0078,0.9968
20.65,0.1844,-0.0078,0.9693
20.661,0.1217,0,0.9928
20.701,0.1884,-0.0078,0.9928
20.703,0.1805,0,0.9732
20.715,0.1177,-0.0078,1.0046
20.731,0.1962,0,0.9693
20.752,0.1217,0,1.0046
20.773,0.2237,-0.0157,0.9654
20.823,0.1099,-0.0078,0.9928
20.826,0.1609,0.0039,0.9889
20.828,0.1648,0.0118,0.9771
20.851,0.1648,-0.0157,0.9928
20.96,0.1766,-0.0078,0.9771
20.962,0.0942,-0.0039,1.0046
20.981,0.1805,-0.0196,0.9771
20.983,0.157,-0.0039,0.9928
20.985,0.1491,-0.0157,1.0085
20.987,0.1373,0.0039,0.9889
20.989,0.1295,0.0039,1.0007
20.999,0.1844,-0.0118,0.9811
21.001,0.153,-0.0039,0.9928
21.038,0.1413,-0.0118,0.9968
21.041,0.1413,0.0118,0.9732
21.052,0.1687,-0.0118,0.9889
21.063,0.1648,0.0039,0.985
21.11,0.1413,-0.0039,0.9889
21.114,0.1334,-0.0118,0.9889
21.123,0.1687,-0.0039,0.9928
21.133,0.1609,-0.0078,1.0046
21.151,0.1687,0.0078,0.985
21.195,0.1295,-0.0039,1.0046
21.201,0.1727,-0.0118,0.9811
21.203,0.1727,0.0118,0.985
21.222,0.1648,-0.0157,0.9968
21.276,0.1609,-0.0118,0.9928
21.279,0.1177,-0.0039,0.9928
21.281,0.1962,0,0.985
21.296,0.1609,0.0039,0.9928
21.315,0.1373,-0.0118,0.9928
21.331,0.1687,-0.0039,0.9811
21.384,0.1452,-0.0039,0.9968
21.387,0.2198,0,0.9654
21.39,0.1177,0,1.0046
21.406,0.1609,-0.0078,0.9811
21.41,0.1452,0.0039,0.985
21.48,0.153,0,0.9928
21.483,0.1844,-0.0078,0.9732
21.485,0.0903,-0.0039,1.0007
21.487,0.2001,-0.0039,0.9575
21.501,0.1256,0,1.0007
21.521,0.1923,-0.0078,0.9771
21.543,0.1334,0.0039,1.0046
21.555,0.1295,-0.0039,0.9889
21.574,0.208,0.0039,0.9693
21.591,0.1334,0,1.0164
21.644,0.2041,-0.0196,0.9771
21.646,0.0942,0.0039,0.9968
21.648,0.1884,0.0039,0.9771
21.661,0.1727,0.0039,0.9771
21.731,0.1373,-0.0039,1.0007
21.737,0.1687,-0.0078,0.9771
21.751,0.1138,0.0039,1.0085
21.753,0.2041,-0.0078,0.9771
21.755,0.1452,0,0.9968
21.763,0.153,-0.0078,1.0085
21.816,0.157,0,0.985
21.818,0.1491,0.0039,0.9928
21.822,0.1923,-0.0039,0.9889
21.831,0.1295,0.0039,0.9968
21.852,0.153,-0.0078,0.9968
21.911,0.1452,-0.0039,0.985
21.914,0.1766,-0.0078,1.0085
21.918,0.1687,-0.0078,0.985
21.92,0.102,0,0.9968
21.941,0.1805,0.0039,0.9693
21.956,0.157,0.0078,0.9968
22.036,0.1687,-0.0196,0.9889
22.045,0.1217,-0.0039,0.9771
22.053,0.1491,-0.0039,0.9928
22.056,0.1727,0,0.985
22.059,0.1766,-0.0157,0.9889
22.061,0.1256,-0.0118,0.9968
22.081,0.157,0,0.9811
22.124,0.1413,-0.0118,1.0007
22.126,0.1962,-0.0078,0.9693
22.135,0.1334,-0.0039,1.0007
22.152,0.1452,-0.0078,0.9889
22.178,0.1805,0,1.0007
22.183,0.1373,-0.0078,0.9928
22.242,0.1884,-0.0039,0.9732
22.245,0.1099,-0.0078,1.0007
22.247,0.1805,0.0078,0.985
22.251,0.153,0.0039,0.9968
22.271,0.1687,-0.0039,0.9811
22.321,0.1609,-0.0078,0.9889
22.323,0.1177,-0.0078,1.0125
22.329,0.1177,0.0039,1.0125
22.346,0.208,0.0039,0.9732
22.35,0.1373,0.0039,0.9968
22.371,0.1805,-0.0039,0.9732
22.374,0.1295,-0.0039,0.9928
22.44,0.1452,0,0.9889
22.442,0.208,0.0039,0.9811
22.444,0.1138,-0.0039,1.0007
22.446,0.1844,0.0039,0.9693
22.461,0.1138,0.0078,0.9928
22.521,0.1962,-0.0039,0.9771
22.524,0.1648,-0.0078,0.9889
22.526,0.1138,-0.0078,0.9928
22.532,0.1805,0,0.9732
22.551,0.1295,0,0.9968
22.573,0.2198,-0.0078,0.9732
22.673,0.1138,-0.0078,0.9968
22.676,0.1413,0,0.9968
22.679,0.1648,-0.0039,0.9811
22.681,0.1609,-0.0118,1.0085
22.684,0.1844,-0.0118,0.9811
22.686,0.0981,0.0039,1.0085
22.698,0.1962,-0.0118,0.9771
22.716,0.1413,0,1.0007
22.721,0.1687,-0.0118,0.9968
22.791,0.1413,0,0.9811
22.793,0.1413,-0.0118,1.0046
22.795,0.1687,0,0.9889
22.797,0.1609,-0.0039,0.9889
22.812,0.1413,-0.0196,1.0085
22.881,0.1491,0.0039,0.9771
22.883,0.1491,-0.0118,0.9968
22.885,0.1766,0.0039,0.9732
22.887,0.1373,-0.0039,0.9968
22.901,0.1334,-0.0039,0.9968
22.963,0.1687,0.0039,0.9811
22.966,0.1727,-0.0118,0.9889
22.971,0.1648,-0.0118,0.9811
22.974,0.1177,-0.0157,1.0007
22.991,0.157,-0.0039,0.9811
23.005,0.1727,-0.0039,0.985
23.021,0.1648,-0.0039,0.9968
23.083,0.153,-0.0039,0.9811
23.085,0.1217,-0.0039,0.9968
23.088,0.208,-0.0118,0.9811
23.093,0.1648,-0.0078,0.9968
23.159,0.1413,-0.0118,0.985
23.162,0.1687,-0.0039,0.9811
23.165,0.1373,0,0.9928
23.168,0.2198,0.0078,0.9732
23.183,0.1138,-0.0078,1.0007
23.204,0.1727,0,0.9771
23.213,0.1452,-0.0078,0.9928
23.277,0.1687,-0.0039,1.0007
23.281,0.1923,0,0.9771
23.283,0.1099,-0.0039,1.0046
23.286,0.2001,-0.0039,0.9614
23.304,0.1177,0.0039,1.0007
23.327,0.2158,0,0.9732
23.343,0.1217,0,1.0007
23.352,0.1373,0,0.9928
23.399,0.1727,-0.0039,0.9693
23.402,0.1413,-0.0118,1.0007
23.413,0.1923,-0.0118,0.9771
23.422,0.0863,0.0078,0.9928
23.477,0.1962,-0.0039,0.9771
23.482,0.1648,0,0.985
23.49,0.157,-0.0118,0.9968
23.493,0.157,-0.0039,0.9889
23.521,0.1334,-0.0118,0.9889
23.531,0.1884,-0.0078,0.985
23.605,0.1491,0.0039,0.9968
23.607,0.1373,-0.0078,1.0046
23.61,0.1491,-0.0039,0.9771
23.612,0.1491,-0.0078,0.9968
23.621,0.1923,-0.0118,0.9889
23.631,0.106,0,1.0007
23.651,0.1491,-0.0078,0.9889
23.697,0.1609,0,0.9928
23.7,0.1727,-0.0078,1.0007
23.702,0.1413,-0.0078,0.9811
23.733,0.1217,0.0039,0.9889
23.741,0.157,-0.0039,0.9811
23.761,0.1609,0.0039,0.9811
23.801,0.1727,-0.0039,1.0007
23.81,0.157,0,0.9889
23.815,0.1295,-0.0078,1.0046
23.83,0.1295,-0.0078,0.9811
23.833,0.1805,0.0078,0.9811
23.847,0.1648,0.0039,0.985
23.862,0.1334,-0.0118,0.9889
23.911,0.157,0.0039,0.985
23.916,0.157,0,0.9968
23.918,0.2158,-0.0078,0.9693
23.931,0.1177,-0.0039,0.9968
23.954,0.1413,-0.0078,0.9811
23.973,0.1648,0.0039,0.9771
24.009,0.1648,-0.0039,0.9889
24.012,0.2041,-0.0078,0.9693
24.021,0.106,0.0039,1.0085
24.031,0.2001,0,0.9654
24.093,0.1452,0,1.0007
24.101,0.1884,-0.0118,0.9811
24.103,0.1373,-0.0078,0.9771
24.106,0.1373,0,0.9889
24.123,0.208,-0.0039,0.9614
24.181,0.1334,-0.0078,1.0007
24.184,0.1884,-0.0118,0.9693
24.186,0.106,0.0039,0.9928
24.196,0.1766,-0.0078,0.9811
24.212,0.1844,-0.0039,0.9811
24.263,0.1334,-0.0118,0.9968
24.267,0.1805,-0.0157,0.9693
24.269,0.1138,0.0078,0.9928
24.29,0.1884,-0.0157,0.9811
24.303,0.157,0.0078,0.9811
24.416,0.1256,-0.0078,1.0046
24.418,0.1648,-0.0039,0.9889
24.42,0.1295,0,1.0125
24.422,0.208,-0.0039,0.9732
24.424,0.1099,-0.0157,1.0046
24.426,0.153,-0.0039,0.9928
24.428,0.153,0.0078,0.9771
24.474,0.1844,0.0039,1.0007
24.476,0.157,0,0.985
24.481,0.1177,-0.0078,0.9928
24.501,0.1648,-0.0039,0.9811
24.512,0.1766,0,0.985
24.521,0.1609,-0.0078,0.9968
24.591,0.153,-0.0078,0.9771
24.594,0.1256,-0.0118,1.0007
24.596,0.1884,0,0.9732
24.598,0.157,-0.0078,0.9968
24.611,0.1295,-0.0039,0.9928
24.653,0.153,0.0039,0.9771
24.655,0.153,-0.0078,1.0007
24.663,0.2041,-0.0039,0.9771
24.748,0.1373,-0.0039,0.9928
24.751,0.157,-0.0039,0.9968
24.754,0.1727,0.0078,0.9889
24.756,0.153,-0.0078,1.0046
24.758,0.1962,-0.0078,0.9614
24.808,0.1177,0.0039,1.0007
24.811,0.1844,0.0039,1.0007
24.813,0.1648,0,0.9928
24.827,0.1884,-0.0039,0.9811
24.841,0.157,0,0.9889
24.901,0.1217,0,0.9968
24.903,0.208,0,0.9771
24.907,0.153,0,0.9811
24.915,0.1687,0,0.9771
24.931,0.1452,-0.0118,0.9811
24.941,0.157,-0.0078,0.9693
24.997,0.208,-0.0078,0.9732
25,0.1217,-0.0118,0.9968
25.002,0.1805,-0.0118,0.9732
25.01,0.1177,0,0.9771
25.032,0.2001,-0.0118,0.9811
25.051,0.1648,-0.0118,0.9732
25.099,0.1177,-0.0118,0.9968
25.102,0.1844,-0.0078,0.9536
25.106,0.1177,0.0039,0.9968
25.122,0.2119,-0.0157,0.9693
25.141,0.0981,-0.0118,0.9928
25.184,0.1766,0,0.9771
25.187,0.1334,-0.0078,0.985
25.191,0.157,-0.0039,1.0046
25.213,0.1805,-0.0039,0.9811
25.22,0.0706,0,1.0164
25.241,0.2119,0,0.9693
25.294,0.106,-0.0039,0.9968
25.297,0.1962,-0.0196,0.985
25.299,0.1177,-0.0157,1.0007
25.319,0.1334,-0.0078,1.0164
25.331,0.1962,-0.0118,0.985
25.341,0.1334,-0.0118,1.0007
25.405,0.1334,-0.0039,1.0007
25.407,0.1727,-0.0078,0.9928
25.409,0.0903,-0.0039,0.9968
25.412,0.1884,0,0.9889
25.413,0.1452,-0.0118,0.985
25.431,0.1295,-0.0078,1.0125
25.451,0.1805,0,0.9771
25.499,0.0942,0.0039,1.0046
25.504,0.2119,0.0039,0.9732
25.505,0.1177,-0.0078,1.0046
25.528,0.157,0.0039,0.9968
25.542,0.1413,0,0.9928
25.554,0.1295,0.0039,1.0046
