tiempo, ax, ay, az
1.99,135,121,150.181 n
2,137,120.398,153 n
2.01,136,119.296,148.296 n
2.02,135.407,119.703,150.814 n
2.03,134,119.705,150.953 n
2.04,134,117.408,150.632 n
2.05,135.295,118,150.59 n
2.06,135,118.295,153 n
2.07,135.296,117.296,150.296 n
2.08,135,117.705,151.82 n
2.09,135,119,151.476 n
2.1,135,118.038,152.115 n
2.11,134.806,115.612,150.388 n
2.12,134.194,116.194,151 n
2.13,134.614,118,151.841 n
2.14,133,118.613,150.162 n
2.15,133.192,114.192,152 n
2.16,135.194,120,148.582 n
2.17,136.807,117.193,151.807 n
2.18,134.42,115,148.42 n
2.19,131.128,116.257,146.796 n
2.2,132,117.646,156.748 n
2.21,133.194,117.806,146.806 n
2.22,136.579,118.193,154.51 n
2.23,138.614,117.807,149.072 n
2.24,134.615,117,145.734 n
2.25,131.807,117.807,159.42 n
2.26,131,116.032,151.193 n
2.27,134.885,114,154.808 n
2.28,139.924,116,148.344 n
2.29,138.228,118.421,147.579 n
2.3,132.808,116.192,155.616 n
2.31,133.077,116.232,154.154 n
2.32,134.196,118.804,154.431 n
2.33,137,117.525,151.8 n
2.34,138.689,118.845,154.29 n
2.35,134.41,118,149.885 n
2.36,133,117.887,151.296 n
2.37,136.193,118.193,155.422 n
2.38,137.193,119,145.351 n
2.39,138.609,119.196,156.826 n
2.4,135.804,120,147.588 n
2.41,133,118,153.588 n
2.42,134.393,120,154.196 n
2.43,138,119.192,147.808 n
2.44,136.614,117.614,149.771 n
2.45,132.807,120.193,151 n
2.46,135,120,162.086 n
2.47,137.575,118.425,142.491 n
2.48,137.969,115.323,150.293 n
2.49,132,116.192,152.034 n
2.5,132.192,117.769,155.039 n
2.51,136.41,121.205,153.156 n
2.52,138.808,120.424,150 n
2.53,135.422,118,149.037 n
2.54,131,115.969,146.938 n
2.55,131,120.967,158.869 n
2.56,134.887,121.038,153.075 n
2.57,138.924,120.038,146.038 n
2.58,136.233,120.192,147.082 n
2.59,131.808,123.423,156.154 n
2.6,131.192,122,154 n
2.61,135,120,152.673 n
2.62,136,120,150.963 n
2.63,134.807,119,150.614 n
2.64,133,117.768,151.96 n
2.65,133.383,121.192,157.149 n
2.66,136.813,122.438,151.38 n
2.67,135.614,119.807,148.842 n
2.68,132.192,121.575,151.452 n
2.69,132,118.808,153.931 n
2.7,134.192,116.384,149.151 n
2.71,136,120.256,155.231 n
2.72,134.411,120.706,144 n
2.73,132.154,119.308,153.386 n
2.74,132.706,121.706,153.47 n
2.75,132.705,120.295,150.409 n
2.76,134.294,120.588,150.352 n
2.77,134.409,122.296,148.34 n
