tiempo, ax, ay, az
150.096489,124,126,150
150.102323,124,127,161
150.106541,124,127,152
150.112417,126,126,149
150.116533,127,126,156
150.122402,128,126,157
150.126411,128,125,152
150.132403,129,124,150
150.136408,130,125,154
150.142414,130,124,153
150.146416,130,123,148
150.152415,130,125,150
150.156414,130,126,154
150.162368,128,126,143
150.166422,127,126,143
150.172419,126,127,153
150.176418,125,126,154
150.182417,124,126,152
150.186418,125,125,148
150.192413,127,127,153
150.196418,127,127,153
150.202326,129,128,151
150.206411,129,126,150
150.212418,129,127,148
150.216493,128,126,150
150.222422,128,126,155
150.226398,127,126,154
150.232407,127,127,149
150.236413,127,125,150
150.242413,127,124,150
150.246416,126,124,150
150.252419,127,125,149
150.256418,127,125,149
150.262410,128,125,150
150.266419,128,128,153
150.272423,127,127,149
150.276412,127,125,150
150.282418,126,126,152
150.286419,126,127,151
150.292424,125,127,151
150.296417,125,126,153
150.302418,125,127,154
150.306410,126,126,152
150.312419,126,126,151
150.316419,125,125,153
150.322418,126,126,153
150.326414,125,123,152
150.332419,126,125,155
150.336419,127,124,151
150.342353,128,125,149
150.346420,128,125,152
150.352420,128,126,153
150.356420,127,125,151
150.362418,126,128,152
150.366419,125,128,155
150.372419,125,127,155
150.376412,124,126,154
150.382420,123,128,156
150.386418,124,125,152
150.393415,125,125,152
150.397420,126,124,156
150.403419,127,125,151
150.407411,127,124,148
150.413420,128,125,156
150.416420,128,125,150
150.422420,129,125,145
150.429420,129,124,147
150.431414,128,127,155
150.437420,127,127,151
150.441420,127,127,151
150.447420,126,128,158
150.451418,124,126,151
150.457419,124,126,150
150.461412,124,127,154
150.467420,125,127,156
150.471419,126,127,150
150.477417,128,124,148
150.481416,129,123,151
150.487424,129,122,144
150.491418,129,123,150
150.497414,130,125,161
150.501419,130,125,153
150.507359,129,126,148
150.511418,127,126,147
150.517423,126,128,150
150.521420,125,127,154
150.527418,124,127,152
150.531418,125,129,150
150.537419,124,130,147
150.541418,124,130,151
150.547419,124,128,153
150.551419,125,128,157
150.557410,126,124,156
150.561413,127,125,151
150.567422,129,125,141
150.571417,131,122,142
150.577419,131,124,155
150.581421,130,124,154
150.587420,128,126,146
150.591426,127,125,152
150.597420,125,126,162
150.601420,123,125,154
150.610416,124,124,152
150.613419,124,126,157
150.617420,125,127,152
150.621420,126,128,150
150.627421,127,126,157
150.631421,126,127,160
150.637420,126,126,146
150.641420,126,125,145
150.647421,127,127,162
150.651420,127,127,159
150.657420,127,126,148
150.661412,128,124,145
150.667420,129,125,146
150.671421,129,126,147
150.677416,128,126,151
150.681418,126,126,156
150.687412,124,126,154
150.691344,122,125,155
150.697419,123,124,158
150.701416,124,125,159
150.707416,125,124,155
150.711420,127,125,155
150.717425,128,122,147
150.721421,129,123,146
150.727418,130,125,156
150.731420,129,125,157
150.737422,128,124,153
150.741421,127,123,151
150.747421,127,126,158
150.751420,126,128,151
150.757421,126,127,148
150.761413,126,128,152
150.767422,126,129,151
150.771420,126,129,147
150.778416,127,130,152
150.782419,127,129,149
150.788421,127,127,145
150.792420,127,127,151
150.798420,127,127,159
150.802422,127,127,154
150.807603,127,126,149
150.811421,127,126,155
150.817424,127,125,156
150.821422,126,126,153
150.827419,126,126,154
150.831421,127,126,150
150.837422,128,124,145
150.841422,128,127,147
150.847419,129,127,154
150.851419,128,127,153
150.857418,128,127,152
150.861414,126,128,154
150.867419,125,129,158
150.871419,124,129,155
150.877423,124,128,150
150.881420,125,126,148
150.887420,127,127,148
150.891419,128,126,144
150.897419,129,126,147
150.901420,129,126,157
150.907327,127,124,156
150.911414,125,126,155
150.917423,125,125,156
150.921419,124,126,162
150.927423,124,126,155
150.931419,125,124,144
150.937419,127,126,161
150.941419,127,125,155
