(151.237683,0.000000),(0.085885,0.000000)
(-0.024841,0.120167),(0.017881,-0.048551)
(-0.056084,0.038777),(-0.074031,-0.034121)
(-0.052942,0.072217),(-0.037332,0.017433)
(-0.020191,0.026959),(0.048288,-0.042011)
(0.000092,0.027221),(0.011585,0.021757)
(0.004277,-0.022531),(-0.017578,-0.007694)
(0.015010,0.047804),(0.081911,-0.038604)
(-0.011513,0.048449),(-0.014879,0.007621)
(-0.098025,-0.056684),(-0.123578,-0.017948)
(0.024179,0.056457),(0.068157,0.091279)
(0.064432,-0.037459),(0.061602,-0.080485)
(-0.082329,0.043543),(-0.071720,-0.088419)
(-0.007247,-0.014192),(-0.024639,0.039751)
(-0.025688,-0.070545),(-0.060810,-0.073706)
(0.026841,0.030249),(0.005588,0.021085)
(-0.020502,0.021670),(0.004456,0.169515)
(0.048826,-0.032634),(0.028196,-0.040107)
(-0.034487,-0.064459),(0.006377,-0.016455)
(0.088501,0.059765),(-0.015792,0.008709)
(-0.106382,-0.035031),(-0.025002,-0.039899)
(0.034688,0.067815),(0.008425,-0.062568)
(-0.039092,-0.019956),(-0.002681,0.048133)
(-0.039170,-0.055235),(0.031450,0.045281)
(0.098299,-0.156166),(-0.042949,-0.021053)
(-0.001769,0.188559),(-0.016443,-0.025914)
(-0.070112,0.001482),(0.009342,0.023258)
(-0.014633,-0.092445),(0.008042,0.027023)
(0.053748,0.098678),(-0.061059,-0.029212)
(-0.030066,0.047096),(-0.023094,-0.080871)
(-0.118323,0.061896),(-0.029089,0.058824)
(0.103653,0.089460),(0.016002,0.046049)
(0.022622,0.001885),(0.034534,0.037140)
(-0.006952,0.052994),(-0.031809,-0.020732)
(0.038195,-0.076835),(-0.044479,0.000575)
(-0.053060,0.007084),(-0.022702,0.007816)
(0.044608,0.026704),(0.014088,-0.024267)
(0.130831,0.088561),(-0.030087,-0.030069)
(-0.015239,-0.051951),(0.011194,-0.025186)
(0.008622,0.087526),(-0.007140,-0.053250)
(-0.009442,0.021970),(-0.036262,-0.050581)
(0.109671,-0.007026),(0.020830,0.014577)
(-0.026541,-0.056754),(-0.082587,-0.087469)
(-0.143997,0.098107),(-0.046593,0.030583)
(0.019801,-0.114064),(-0.125056,0.067927)
(-0.016264,0.040924),(-0.040784,0.097303)
(0.075765,-0.049962),(0.143034,-0.050052)
(-0.001292,0.045244),(0.048621,-0.062890)
(-0.003597,-0.020472),(0.064656,-0.035525)
(-0.011082,-0.139648),(-0.036131,-0.054631)
(-0.024504,0.059103),(-0.226576,0.033161)
(-0.090926,-0.004517),(-0.021022,0.005385)
(-0.000638,0.070913),(0.074046,-0.072557)
(0.080113,-0.041771),(0.087195,0.042513)
(-0.038390,-0.073297),(0.022008,-0.004930)
(0.059037,-0.028735),(-0.011995,-0.079531)
(-0.070492,0.091915),(0.054548,0.001705)
(0.065867,-0.060873),(0.045756,0.003007)
(-0.005124,-0.017638),(-0.082255,0.050195)
(-0.006085,0.002124),(-0.000758,-0.031754)
(0.022644,0.032937),(0.008406,0.031134)
(-0.056506,-0.021688),(0.126461,-0.019678)
(0.106897,0.043922),(0.064367,0.095087)
(-0.002862,-0.017920),(-0.024097,-0.022817)
(0.054480,0.013269),(-0.287197,-0.096929)
(-0.012444,0.052435),(0.017377,0.096123)
(-0.092268,-0.014388),(0.063694,-0.023504)
(-0.030314,-0.007651),(0.093651,-0.030466)
(0.045088,0.017139),(0.054425,-0.026752)
(0.001738,0.023281),(0.033673,0.023131)
(0.029193,0.086159),(0.056383,0.107776)
(0.025119,0.068659),(0.015372,0.101579)
(-0.106085,-0.088283),(-0.023254,0.026640)
(0.011297,0.019543),(0.051696,0.020580)
(-0.013059,-0.044553),(-0.001294,-0.017978)
(-0.040615,-0.022276),(-0.091233,-0.006050)
(-0.005262,0.050215),(-0.075983,0.089815)
(0.060452,-0.012548),(-0.025134,-0.039831)
(0.071029,-0.039898),(-0.014235,-0.047864)
(0.004220,0.044175),(-0.056223,-0.039648)
(0.027294,-0.004847),(-0.047352,0.058038)
(-0.089436,-0.018169),(-0.037185,-0.087602)
(0.052869,0.051008),(-0.019078,-0.012556)
(0.001212,0.038508),(-0.081818,0.057211)
(-0.033232,0.002469),(0.032318,0.245480)
(0.019690,0.000364),(0.080944,0.041908)
(0.031379,0.004130),(0.028681,0.032967)
(0.013274,-0.014984),(0.069815,-0.036435)
(0.008189,0.037377),(0.098752,-0.034473)
(0.013554,-0.045431),(-0.015068,-0.043512)
(-0.031573,0.021084),(-0.109187,-0.078715)
(-0.063300,0.042901),(0.073631,0.101270)
(0.033287,0.036127),(0.015604,0.053151)
(0.060537,-0.000085),(-0.081150,0.058438)
(0.078937,-0.004257),(-0.062210,0.002697)
(-0.047742,0.025663),(-0.095158,0.056795)
(-0.040337,-0.002245),(0.050818,-0.060070)
(0.020736,-0.010709),(0.069701,-0.128180)
(-0.021604,0.023060),(-0.045634,-0.018053)
(-0.007931,0.001309),(-0.037515,0.083397)
(0.033141,-0.025927),(-0.139291,-0.091710)
(0.000947,-0.029381),(0.120337,-0.139904)
(0.026405,-0.073760),(-0.197993,0.024821)
(0.015516,-0.009528),(0.006910,0.224938)
(-0.055297,-0.013297),(0.048684,0.050594)
(0.012628,0.009445),(-0.043887,-0.045541)
(-0.010416,0.016572),(-0.133048,0.056249)
(-0.005513,-0.004358),(-0.021248,-0.256256)
(0.025783,-0.013472),(-0.211601,0.090560)
(-0.026233,0.011523),(0.103841,0.160291)
(-0.017949,-0.030972),(0.150544,-0.008126)
(0.032330,-0.017440),(-0.038289,-0.024754)
(-0.011297,0.005340),(-0.083559,-0.122684)
(0.004325,0.010951),(-0.052248,-0.005908)
(0.002949,-0.029929),(0.088605,0.106082)
(0.005852,0.023586),(-0.127977,-0.041088)
(0.023428,0.020488),(-0.033893,0.038649)
