tiempo, axy, ayz, azx
0,179.611,197.434,198.716
0.01,180.181,197.279,199.078
0.02,179.611,196.729,198.016
0.03,179.611,197.434,198.716
0.04,179.611,197.434,198.716
0.05,179.611,197.434,198.716
0.06,180.164,197.434,199.216
0.07,180.241,197.434,199.286
0.08,180.325,197.434,199.361
0.09,179.666,197.434,198.766
0.1,179.611,197.373,198.656
0.11,179.611,197.434,198.716
0.12,179.611,197.434,198.716
0.13,180.325,197.434,199.361
0.14,179.666,196.725,198.062
0.15,179.611,197.434,198.716
0.16,179.611,197.434,198.716
0.17,178.964,196.845,198.716
0.18,179.611,197.434,198.716
0.19,179.611,197.434,198.716
0.2,179.611,197.434,198.716
0.21,179.96,197.04,198.641
0.22,179.611,197.434,198.716
0.23,179.611,197.363,198.646
0.24,179.611,197.434,198.716
0.25,179.611,196.733,198.02
0.26,179.611,197.434,198.716
0.27,179.611,197.434,198.716
0.28,180.325,197.434,199.361
0.29,179.611,196.665,197.952
0.3,179.611,197.434,198.716
0.31,179.611,197.434,198.716
0.32,178.973,196.785,198.648
0.33,179.611,196.733,198.02
0.34,179.611,197.434,198.716
0.35,179.611,197.434,198.716
0.36,179.611,197.434,198.716
0.37,179.611,197.434,198.716
0.38,179.611,197.434,198.716
0.39,179.674,197.365,198.705
0.4,179.611,197.365,198.648
0.41,179.611,197.434,198.716
0.42,179.611,197.434,198.716
0.43,179.611,197.434,198.716
0.44,179.674,197.365,198.705
0.45,179.611,197.434,198.716
0.46,179.674,197.434,198.773
0.47,180.261,197.434,199.304
0.48,179.611,197.373,198.655
0.49,179.611,197.496,198.778
0.5,179.668,198.204,199.533
0.51,180.383,198.142,200.115
0.52,181.041,197.434,200.01
0.53,180.983,196.665,199.198
0.54,180.325,197.434,199.361
0.55,179.668,197.434,198.767
0.56,180.325,197.372,199.3
0.57,180.325,196.711,198.646
0.58,180.325,197.434,199.361
0.59,180.889,198.041,200.472
0.6,180.325,197.3,199.229
0.61,180.325,196.787,198.721
0.62,180.38,197.484,199.361
0.63,180.325,197.372,199.3
0.64,181.041,197.372,199.949
0.65,181.041,196.726,199.312
0.66,180.325,197.434,199.361
0.67,180.325,197.372,199.3
0.68,180.325,197.434,199.361
0.69,180.325,197.434,199.361
0.7,180.325,197.495,199.422
0.71,180.389,196.665,198.659
0.72,180.325,197.434,199.361
0.73,180.325,197.434,199.361
0.74,180.325,197.495,199.422
0.75,180.325,197.434,199.361
0.76,180.325,196.73,198.665
0.77,180.325,197.434,199.361
0.78,180.325,197.434,199.361
0.79,180.984,197.434,199.958
0.8,180.325,197.434,199.361
0.81,180.325,197.494,199.421
0.82,180.325,197.434,199.361
0.83,180.325,196.726,198.661
0.84,180.325,197.434,199.361
0.85,180.325,197.373,199.301
0.86,180.325,197.434,199.361
0.87,180.325,196.726,198.661
0.88,180.325,197.434,199.361
0.89,180.325,197.434,199.361
0.9,180.325,197.434,199.361
0.91,180.325,196.665,198.6
0.92,180.325,197.434,199.361
0.93,180.325,197.434,199.361
0.94,180.325,197.434,199.361
0.95,180.325,197.434,199.361
0.96,180.325,197.434,199.361
0.97,180.325,197.434,199.361
0.98,180.325,197.36,199.288
0.99,180.325,196.726,198.661
1,180.325,197.434,199.361
1.01,180.325,197.434,199.361
1.02,180.269,196.613,198.6
1.03,181.041,197.434,200.01
1.04,181.041,198.204,200.771
1.05,181.041,197.434,200.01
1.06,180.388,196.732,198.724
1.07,181.041,197.434,200.01
1.08,181.041,197.434,200.01
1.09,181.041,197.434,200.01
1.1,181.041,198.143,200.711
1.11,181.041,196.665,199.251
1.12,181.041,197.434,200.01
1.13,181.098,197.548,200.072
1.14,181.761,197.373,200.602
1.15,181.761,196.725,199.965
1.16,181.761,197.494,200.721
1.17,181.761,196.665,199.905
1.18,181.761,197.434,200.661
1.19,181.761,197.36,200.589
1.2,181.827,196.735,200.035
1.21,182.483,197.495,201.376
1.22,182.483,197.373,201.256
1.23,182.541,198.204,202.125
1.24,183.15,198.022,202.496
1.25,183.208,196.847,201.399
1.26,183.208,198.083,202.607
1.27,183.262,196.07,200.59
1.28,183.931,198.905,203.966
1.29,183.208,196.665,201.221
1.3,183.935,197.494,202.692
1.31,184.621,198.073,202.633
1.32,184.383,197.584,202.373
1.33,184.533,197.892,202.536
1.34,185.348,198.25,203.467
1.35,185.348,198.641,203.848
1.36,185.348,197.374,202.614
1.37,185.288,198.718,203.978
1.38,185.348,197.374,202.614
1.39,185.081,197.355,202.84
1.4,185.891,197.786,203.676
1.41,185.457,196.856,203.347
1.42,185.457,197.354,203.83
1.43,185.57,196.645,203.04
1.44,186.078,198.255,204.137
1.45,185.905,196.573,202.663
1.46,186.018,198.785,204.707
1.47,185.929,196.833,202.893
1.48,186.142,197.441,203.406
1.49,186.746,197.939,204.441
