tiempo, axy, ayz, azx
1.99,184.792,197.307,202.04
2,183.935,195.898,201.137
2.01,183.208,195.717,200.295
2.02,182.483,197.05,200.939
2.03,180.218,197.385,202.001
2.04,180.38,195.755,200.263
2.05,180.978,198.836,202.743
2.06,181.897,196.237,200.675
2.07,181.005,193.982,199.284
2.08,182.253,196.676,201.848
2.09,182.025,196.208,200.105
2.1,180.827,196.574,200.661
2.11,183.159,198.736,201.099
2.12,183.652,195.503,199.227
2.13,182.972,196.645,200.987
2.14,182.681,196.731,199.13
2.15,182.455,199.903,202.468
2.16,182.23,196.293,199.111
2.17,181.559,198.367,202.641
2.18,181.571,196.088,200.825
2.19,180.603,196.368,200.661
2.2,180.38,197.969,202.428
2.21,181.33,195.595,200.562
2.22,180.885,196.735,202.072
2.23,180.38,196.687,201.174
2.24,181.33,198.72,203.609
2.25,181.304,197.047,201.118
2.26,182.017,197.003,201.316
2.27,182.259,196.728,200.827
2.28,181.536,196.707,200.151
2.29,181.069,197.053,200.913
2.3,181.761,197.164,200.396
2.31,181.527,197.434,200.45
2.32,181.025,198.322,199.609
2.33,181.483,201.385,202.655
2.34,183.386,200.23,202.372
2.35,183.877,197.474,200.511
2.36,185.097,201.231,205.095
2.37,185.058,197.876,200.714
2.38,183.802,198.024,200.571
2.39,182.922,198.756,200.911
2.4,182.455,196.891,199.494
2.41,181.761,196.665,199.905
2.42,181.93,200.096,203.13
2.43,182.461,196.751,199.661
2.44,182.654,197.434,201.471
2.45,183.036,197.296,201.683
2.46,183.005,195.337,198.468
2.47,182.784,199.186,201.462
2.48,183.157,198.16,200.416
2.49,183.321,196.03,198.157
2.5,184.419,199.164,202.258
2.51,183.853,197.219,198.533
2.52,183.318,199.633,201.42
2.53,182.823,197.467,199.727
2.54,182.647,196.999,200.74
2.55,182.521,196.25,201.44
2.56,183.897,195.332,199.285
2.57,183.889,198.811,202.395
2.58,183.705,196.858,199.633
2.59,184.033,198.508,200.961
2.6,184.407,198.653,201.072
2.61,185.311,196.074,200.043
2.62,185.14,197.952,201.727
2.63,184.06,196.476,200.257
2.64,183.719,197.904,201.346
2.65,182.264,195.558,198.977
2.66,184.067,197.348,201.418
2.67,185.348,196.586,201.847
2.68,185.473,196.494,200.304
2.69,184.951,200.02,202.618
2.7,183.87,197.146,199.766
2.71,184.402,200.964,203.053
2.72,184.621,197.934,202.497
2.73,185.873,194.898,199.716
2.74,185.139,196.831,200.626
2.75,183.372,198.998,201.739
2.76,181.952,198.083,201.304
2.77,183.175,195.987,199.263
2.78,183.803,196.766,200.777
2.79,183.203,196.441,200.83
2.8,183.643,197.723,200.543
2.81,183.645,201.11,203.882
2.82,182.003,193.737,198.134
2.83,183.734,197.11,201.176
2.84,181.785,196.258,200.486
2.85,182.62,197.551,199.996
2.86,183.524,201.585,203.169
2.87,182.645,196.456,200.209
2.88,183.706,198.925,201.671
