tiempo, ax, ay, az
2.82,129,126,152
2.83,129,126,152
2.84,128.818,126,152
2.85,129,126,152
2.86,128.158,126,152.158
2.87,128.294,126,152
2.88,128.214,126,152
2.89,129,126,152
2.9,129,126,152
2.91,129,126,151.988
2.92,129,126,152
2.93,128,126,152
2.94,129,125.182,152
2.95,128,126,152
2.96,128.182,126,152.182
2.97,128.824,125.176,152
2.98,129,126,152
2.99,129,126,152
3,129,126,152.818
3.01,128.822,126,152
3.02,128,126,152
3.03,129,126,152
3.04,128.183,125.817,152
3.05,129,126,152
3.06,129,126,152
3.07,129,126,152
3.08,129,126,152.988
3.09,129,126,152
3.1,128.013,125.013,151.013
3.11,129,126,152
3.12,129,126,152
3.13,129,126,152
3.14,128,126,152
3.15,128.987,126,152.987
3.16,128.014,126,152.014
3.17,128.011,126,151.011
3.18,128.988,126,151.988
3.19,129,126,152
3.2,129,126,152.988
3.21,129,126,152.988
3.22,128,126,152
3.23,128,126,152
3.24,129,126,152
3.25,129,126,152
3.26,129,126,152
3.27,129,126,152
3.28,129,126,152
3.29,128,125.987,152
3.3,128.988,126,152
3.31,129,126,152
3.32,128.01,126,152
3.33,128.987,126,152
3.34,128,126,152
3.35,128,126,152
3.36,129,126,152
3.37,129,126,152
3.38,129,126,152
3.39,129,126,152
3.4,128.988,126,152
3.41,128,126,152
3.42,128.013,126,152
3.43,129,126,153
3.44,129,126,152
3.45,128.988,126,152
3.46,129,126,153
3.47,128.988,126,152
3.48,129,126,152
3.49,129,125.011,152
3.5,129,126,152
3.51,129,126,152
3.52,128.013,125.013,152
3.53,128,126,151.277
3.54,128,126,152
3.55,128.827,126,152
3.56,129,126,152
3.57,129,126,151.825
3.58,129,126,152
3.59,128.827,125.827,152
3.6,128.181,125.181,151.181
3.61,128.823,126,152
3.62,129,126,152
3.63,129,126,152
3.64,129,126,152
3.65,129,126,152.826
3.66,129,126,152.817
3.67,128.176,126,151.176
3.68,128.825,126,151.825
3.69,129,126,152.705
3.7,128.658,126,152
3.71,129,126,152
3.72,128,126,152
3.73,128,126,152
3.74,128.818,126,152
3.75,129,126,152
3.76,129,126,152
3.77,129,126,152
3.78,129,126,152
3.79,129,126,152
3.8,129,126,152
3.81,128.176,126,152
3.82,129,126,152
3.83,129,126,152
3.84,129,126,152
3.85,129,126,152
3.86,128.183,125.183,152
3.87,129,126,152
3.88,128,126,152
3.89,128.824,126,152
3.9,129,126,152
3.91,128.985,125,151.985
3.92,129,125.182,152
3.93,128.176,125.176,152.176
3.94,129,126,152.176
3.95,128.823,126,151.823
3.96,129,126,153
3.97,129,126,152
3.98,129,126,152
3.99,129,126,152
4,128.342,126,152
4.01,128.342,125.342,152.342
4.02,128,126,151.176
4.03,128.177,125.177,152
4.04,128.184,126,152
4.05,128.176,126,152
4.06,129,126,152
