(151.533955,0.000000),(-0.041278,0.000000)
(-0.030353,-0.006761),(0.022248,0.014607)
(-0.138399,-0.006007),(-0.000015,0.012832)
(-0.056480,0.040854),(0.028885,-0.013605)
(0.118152,0.007235),(0.006958,-0.003277)
(0.057477,-0.018877),(0.034318,0.032201)
(-0.045175,0.014890),(0.010419,-0.018488)
(0.053691,-0.015578),(0.018942,-0.008494)
(0.069094,-0.078439),(-0.034170,-0.006605)
(0.032201,-0.021004),(0.000217,0.009580)
(-0.067819,0.023884),(0.021533,-0.048730)
(0.005699,-0.113623),(0.030457,-0.014590)
(-0.055482,-0.104228),(-0.060863,-0.042962)
(0.012501,0.072809),(-0.013939,0.015222)
(0.067329,-0.023079),(0.007606,-0.009610)
(-0.042368,0.058317),(-0.018046,0.007001)
(-0.000883,-0.004490),(-0.007566,0.025466)
(-0.019992,0.016971),(0.017130,0.021017)
(0.018493,-0.045060),(0.003764,-0.036347)
(-0.035249,-0.047920),(-0.020275,0.049815)
(0.059464,-0.008447),(0.020512,0.020453)
(0.034967,0.046858),(-0.047781,-0.026284)
(0.007163,0.139647),(-0.019625,-0.000376)
(-0.099100,0.011810),(0.003132,-0.044199)
(-0.114211,-0.018778),(0.003860,-0.002156)
(0.166225,-0.073600),(0.009970,0.019881)
(0.069798,-0.076754),(-0.040406,-0.003298)
(0.030103,0.019488),(-0.026025,-0.009940)
(0.099311,0.036414),(0.032848,0.000123)
(0.000318,0.002045),(-0.005856,-0.072155)
(-0.070059,-0.022880),(-0.035620,-0.022561)
(-0.105355,0.023616),(-0.010383,-0.032791)
(0.001221,0.060940),(0.002063,0.069135)
(0.006491,-0.007635),(0.013174,-0.016901)
(0.034598,-0.009426),(0.026893,0.004229)
(-0.035272,0.016137),(0.038174,0.017501)
(-0.008397,0.052107),(-0.014018,-0.009294)
(-0.044999,-0.060027),(0.026559,-0.041239)
(0.010011,0.042987),(-0.018342,0.002921)
(0.029198,0.075550),(-0.049006,0.041411)
(-0.088141,0.110626),(-0.002600,0.023027)
(0.011503,-0.044026),(0.026934,-0.044216)
(0.000998,0.032682),(-0.017520,0.089455)
(-0.006648,0.025647),(0.009474,-0.005348)
(-0.049152,0.022828),(-0.001121,-0.018725)
(-0.000925,0.035129),(-0.056791,-0.024886)
(-0.008018,0.016208),(-0.026632,0.048051)
(0.030527,-0.011773),(-0.027322,-0.013499)
(0.019789,0.006919),(0.059056,-0.027585)
(-0.003660,-0.030171),(-0.051215,-0.063486)
(0.017755,0.067461),(-0.006350,0.027920)
(-0.067422,-0.028992),(-0.019985,-0.036348)
(0.008024,0.014260),(-0.032790,-0.047618)
(0.042717,0.000027),(0.007620,0.035963)
(-0.040444,0.043306),(-0.026929,0.026619)
(0.120837,0.076289),(-0.012575,0.004487)
(-0.052740,0.023149),(-0.053115,0.001269)
(-0.057901,-0.018190),(0.003887,-0.026311)
(-0.099359,0.015224),(-0.031687,0.019959)
(0.000572,-0.054449),(-0.051850,0.030110)
(-0.024324,-0.031025),(0.054977,-0.064754)
(0.031383,0.049830),(0.010672,-0.067539)
(-0.014614,0.017529),(-0.008353,0.026430)
(0.026295,-0.079066),(-0.012879,-0.053531)
(0.036068,0.004442),(0.026128,-0.038163)
(0.042841,-0.049218),(-0.078901,-0.033313)
(-0.020377,-0.026746),(-0.037435,0.014605)
(-0.006638,-0.004050),(0.120906,0.008926)
(0.081291,0.086424),(0.021562,-0.052282)
(-0.015914,0.027478),(-0.079013,-0.012034)
(-0.086961,0.028116),(0.018661,0.027729)
(0.007689,-0.000541),(-0.010995,0.090836)
(-0.011951,0.007221),(0.006270,-0.010031)
(-0.005813,-0.002904),(0.019456,0.042595)
(0.000886,0.033235),(-0.004460,0.020682)
(0.072164,-0.047361),(0.020992,-0.003156)
(-0.014822,0.001313),(-0.086930,-0.039144)
(0.002236,-0.032447),(-0.062711,0.043434)
(0.012390,0.079661),(0.076846,0.025325)
(0.014470,-0.001567),(0.039074,0.006590)
(0.019615,0.080647),(-0.018128,-0.065252)
(-0.021520,-0.015640),(-0.062174,0.038976)
(0.011326,-0.000229),(-0.000520,0.014326)
(0.008525,0.039131),(0.078183,-0.022848)
(0.056071,-0.024937),(-0.047815,-0.038517)
(0.002342,0.077671),(0.016464,0.024094)
(0.024696,-0.011207),(0.010382,0.062540)
(-0.032613,0.001512),(-0.043827,-0.024782)
(0.015600,-0.007334),(-0.042247,0.039746)
(0.026267,0.037118),(0.026770,0.074964)
(0.019353,-0.026165),(0.057389,-0.051433)
(-0.004096,-0.073190),(0.035598,-0.049031)
(0.025565,-0.024186),(-0.003540,0.023089)
(0.055238,0.004057),(0.025068,0.077943)
(-0.006010,0.019255),(0.019607,-0.007421)
(0.023751,0.018666),(-0.015026,-0.076069)
(-0.036277,0.010056),(-0.006219,0.038712)
(0.007423,0.005808),(0.075987,0.024590)
(-0.090649,0.010393),(-0.022013,-0.059408)
(-0.003824,0.037220),(0.008865,-0.064667)
(-0.072160,0.012435),(-0.014865,0.004289)
(0.039830,0.048775),(-0.022375,0.016412)
(-0.049011,0.038616),(-0.005453,-0.035355)
(-0.008571,-0.029140),(0.012109,-0.015146)
(-0.023688,-0.015501),(-0.034145,-0.003937)
(-0.032501,0.004787),(-0.038833,0.134452)
(0.004244,0.000963),(0.052026,0.022088)
(-0.028431,0.013564),(0.003268,-0.131305)
(0.000987,-0.006338),(-0.000479,-0.031007)
(-0.009243,-0.010150),(0.006423,0.106675)
(-0.017781,0.007305),(0.126358,0.009699)
(-0.008151,0.042765),(-0.033899,-0.026632)
(0.012189,-0.027528),(-0.092400,0.058527)
(-0.024290,-0.026309),(-0.010179,0.043425)
(-0.000772,0.011254),(-0.058988,-0.081224)
(-0.001865,-0.009458),(-0.048021,-0.062778)
(-0.023647,-0.014352),(-0.062156,-0.049481)
(-0.005366,0.007714),(-0.022840,0.040013)
(-0.003348,-0.021157),(0.007650,0.060315)
