nombre_archivo|tamaño_original|estatus_commit_0|es_generado|ruta
Mallas1003841-eps-converted-to.pdf|13132|ignorado|True|./Bases de conocimiento/4x4/Latex (mallas 10x10 pdfs)/
Mallas1003941-eps-converted-to.pdf|13100|ignorado|True|./Bases de conocimiento/4x4/Latex (mallas 10x10 pdfs)/
Mallas1004041-eps-converted-to.pdf|13003|ignorado|True|./Bases de conocimiento/4x4/Latex (mallas 10x10 pdfs)/
Mallas1004141-eps-converted-to.pdf|12973|ignorado|True|./Bases de conocimiento/4x4/Latex (mallas 10x10 pdfs)/
Mallas1004241-eps-converted-to.pdf|13007|ignorado|True|./Bases de conocimiento/4x4/Latex (mallas 10x10 pdfs)/
Mallas1004341-eps-converted-to.pdf|13469|ignorado|True|./Bases de conocimiento/4x4/Latex (mallas 10x10 pdfs)/
Mallas1004441-eps-converted-to.pdf|13387|ignorado|True|./Bases de conocimiento/4x4/Latex (mallas 10x10 pdfs)/
Mallas1004541-eps-converted-to.pdf|13366|ignorado|True|./Bases de conocimiento/4x4/Latex (mallas 10x10 pdfs)/
Mallas1004641-eps-converted-to.pdf|13013|ignorado|True|./Bases de conocimiento/4x4/Latex (mallas 10x10 pdfs)/
Mallas100470-eps-converted-to.pdf|13205|ignorado|True|./Bases de conocimiento/4x4/Latex (mallas 10x10 pdfs)/
Mallas1004741-eps-converted-to.pdf|13507|ignorado|True|./Bases de conocimiento/4x4/Latex (mallas 10x10 pdfs)/
Mallas1004841-eps-converted-to.pdf|13104|ignorado|True|./Bases de conocimiento/4x4/Latex (mallas 10x10 pdfs)/
Mallas1004941-eps-converted-to.pdf|13056|ignorado|True|./Bases de conocimiento/4x4/Latex (mallas 10x10 pdfs)/
Mallas1005041-eps-converted-to.pdf|12941|ignorado|True|./Bases de conocimiento/4x4/Latex (mallas 10x10 pdfs)/
Mallas1005141-eps-converted-to.pdf|13011|ignorado|True|./Bases de conocimiento/4x4/Latex (mallas 10x10 pdfs)/
Mallas1005241-eps-converted-to.pdf|13485|ignorado|True|./Bases de conocimiento/4x4/Latex (mallas 10x10 pdfs)/
Mallas1005341-eps-converted-to.pdf|13408|ignorado|True|./Bases de conocimiento/4x4/Latex (mallas 10x10 pdfs)/
Mallas1005441-eps-converted-to.pdf|13228|ignorado|True|./Bases de conocimiento/4x4/Latex (mallas 10x10 pdfs)/
Mallas1005541-eps-converted-to.pdf|13170|ignorado|True|./Bases de conocimiento/4x4/Latex (mallas 10x10 pdfs)/
Mallas1005641-eps-converted-to.pdf|13210|ignorado|True|./Bases de conocimiento/4x4/Latex (mallas 10x10 pdfs)/
Mallas100570-eps-converted-to.pdf|13610|ignorado|True|./Bases de conocimiento/4x4/Latex (mallas 10x10 pdfs)/
Mallas1005741-eps-converted-to.pdf|13073|ignorado|True|./Bases de conocimiento/4x4/Latex (mallas 10x10 pdfs)/
Mallas1005841-eps-converted-to.pdf|12970|ignorado|True|./Bases de conocimiento/4x4/Latex (mallas 10x10 pdfs)/
Mallas1005941-eps-converted-to.pdf|12964|ignorado|True|./Bases de conocimiento/4x4/Latex (mallas 10x10 pdfs)/
Mallas1006041-eps-converted-to.pdf|12993|ignorado|True|./Bases de conocimiento/4x4/Latex (mallas 10x10 pdfs)/
Mallas1006141-eps-converted-to.pdf|12859|ignorado|True|./Bases de conocimiento/4x4/Latex (mallas 10x10 pdfs)/
Mallas1006241-eps-converted-to.pdf|12897|ignorado|True|./Bases de conocimiento/4x4/Latex (mallas 10x10 pdfs)/
Mallas1006341-eps-converted-to.pdf|12662|ignorado|True|./Bases de conocimiento/4x4/Latex (mallas 10x10 pdfs)/
Mallas1006441-eps-converted-to.pdf|12713|ignorado|True|./Bases de conocimiento/4x4/Latex (mallas 10x10 pdfs)/
Mallas10065-eps-converted-to.pdf|13280|ignorado|True|./Bases de conocimiento/4x4/Latex (mallas 10x10 pdfs)/
Mallas1006541-eps-converted-to.pdf|13108|ignorado|True|./Bases de conocimiento/4x4/Latex (mallas 10x10 pdfs)/
Mallas1006641-eps-converted-to.pdf|13030|ignorado|True|./Bases de conocimiento/4x4/Latex (mallas 10x10 pdfs)/
Mallas100670-eps-converted-to.pdf|13448|ignorado|True|./Bases de conocimiento/4x4/Latex (mallas 10x10 pdfs)/
Mallas1006741-eps-converted-to.pdf|12941|ignorado|True|./Bases de conocimiento/4x4/Latex (mallas 10x10 pdfs)/
Mallas1006841-eps-converted-to.pdf|13046|ignorado|True|./Bases de conocimiento/4x4/Latex (mallas 10x10 pdfs)/
Mallas1006941-eps-converted-to.pdf|12937|ignorado|True|./Bases de conocimiento/4x4/Latex (mallas 10x10 pdfs)/
Mallas1007041-eps-converted-to.pdf|13266|ignorado|True|./Bases de conocimiento/4x4/Latex (mallas 10x10 pdfs)/
Mallas1007141-eps-converted-to.pdf|13181|ignorado|True|./Bases de conocimiento/4x4/Latex (mallas 10x10 pdfs)/
Mallas1007241-eps-converted-to.pdf|12960|ignorado|True|./Bases de conocimiento/4x4/Latex (mallas 10x10 pdfs)/
Mallas1007341-eps-converted-to.pdf|12898|ignorado|True|./Bases de conocimiento/4x4/Latex (mallas 10x10 pdfs)/
