(124.537284,0.000000),(0.003329,0.000000)
(-0.162899,0.483857),(-0.010107,0.008462)
(-0.065891,0.652769),(-0.008474,-0.022251)
(0.320340,0.347114),(0.008546,0.005429)
(0.093744,0.015125),(-0.001881,0.019189)
(0.045227,0.073391),(-0.001186,-0.003697)
(-0.028321,0.070045),(0.010173,-0.001839)
(-0.047218,0.151976),(0.000056,-0.012562)
(0.009478,0.108684),(0.005947,-0.006785)
(0.000882,0.021045),(-0.011133,0.014557)
(-0.065078,0.032542),(0.006870,0.030531)
(-0.047101,0.169097),(-0.023201,-0.001458)
(0.067120,0.051818),(0.009453,-0.004251)
(0.027568,0.000003),(-0.009205,-0.002244)
(-0.093030,-0.055306),(0.027631,-0.019006)
(0.038778,0.044127),(-0.019154,-0.023877)
(0.011008,0.049861),(0.016855,-0.013645)
(0.103989,-0.045619),(0.005085,0.013073)
(-0.073131,0.044031),(0.014593,-0.001377)
(0.044280,-0.025599),(0.007873,-0.016530)
(-0.074862,-0.077848),(-0.009415,0.006159)
(0.055577,-0.009687),(0.002910,-0.017674)
(-0.131124,0.134964),(0.011664,-0.003096)
(0.029424,0.122736),(-0.015181,0.015413)
(-0.016241,-0.101082),(-0.000034,0.013630)
(-0.078855,-0.074001),(0.004954,-0.002602)
(-0.053581,0.091404),(0.005036,0.001988)
(0.077117,0.116459),(0.019198,-0.023288)
(-0.001249,-0.033496),(-0.003008,-0.001517)
(0.034285,-0.004792),(-0.009914,0.018216)
(-0.092923,0.074743),(0.021992,-0.005362)
(-0.009251,-0.014871),(-0.004570,-0.002506)
(0.012087,0.055796),(0.014209,0.012421)
(-0.036965,-0.035821),(-0.018258,0.002803)
(0.054915,0.075841),(0.011917,0.004900)
(0.006710,0.033384),(0.005109,0.005831)
(0.022688,0.022164),(0.002803,0.005596)
(-0.008839,0.036260),(-0.017770,-0.005179)
(-0.057544,0.039851),(0.002866,0.005979)
(-0.033335,0.021162),(-0.011465,-0.007060)
(0.037845,0.031541),(-0.011797,-0.019316)
(0.002134,-0.003000),(0.002605,0.016006)
(0.007435,0.048584),(-0.001699,-0.009568)
(-0.055241,0.011876),(-0.002840,-0.010694)
(0.030598,0.006408),(-0.005827,-0.012022)
(-0.015324,0.015135),(-0.020894,0.005578)
(-0.016543,0.004739),(-0.003074,0.003493)
(0.000667,0.025768),(-0.006708,-0.003481)
(0.007293,0.015316),(-0.009503,0.001265)
(-0.004023,-0.000874),(-0.002238,-0.017142)
(0.006143,-0.003307),(-0.014388,-0.017179)
(0.012234,-0.027172),(-0.014532,0.019658)
(-0.018616,-0.000962),(0.001733,-0.009377)
(-0.038095,0.002837),(-0.008407,-0.011014)
(-0.009299,0.003365),(0.004870,0.013579)
(0.039759,0.053600),(-0.004794,0.001670)
(0.039885,-0.002006),(-0.016577,-0.001015)
(0.021410,-0.022849),(-0.014096,-0.012769)
(-0.004612,0.064362),(0.012569,0.001468)
(-0.001218,-0.012265),(-0.000258,-0.032283)
(0.051842,0.019002),(-0.016489,-0.006810)
(0.075441,-0.050309),(-0.014026,0.018712)
(-0.034200,-0.075901),(0.002272,-0.006769)
(-0.045313,-0.000403),(-0.008368,-0.010019)
(-0.017057,0.026431),(-0.006196,0.003659)
(-0.004217,-0.031908),(0.020449,-0.008589)
(-0.029840,0.002448),(-0.006528,0.002390)
(-0.041430,0.037770),(0.008154,0.004881)
(0.030725,0.050303),(0.039348,0.001453)
(-0.004590,0.023957),(-0.024828,0.007188)
(-0.018205,-0.030283),(-0.011269,0.007425)
(-0.013455,0.041907),(0.014194,-0.028554)
(0.016075,0.027478),(-0.013357,-0.009186)
(-0.004107,-0.047608),(-0.003792,0.007906)
(0.037828,-0.000671),(0.000057,-0.006417)
(-0.057238,-0.051261),(0.017882,-0.023209)
(0.049565,0.035514),(0.023842,0.015590)
(-0.027164,-0.016011),(0.007984,-0.001170)
(-0.078373,-0.038129),(0.006784,-0.008604)
(-0.027695,0.046130),(-0.030235,0.024622)
(0.051999,0.058111),(0.016258,0.011399)
(0.060200,-0.043114),(-0.006016,-0.032253)
(-0.016322,0.040964),(0.036427,0.006328)
(-0.030104,-0.069657),(-0.032820,-0.001696)
(0.016344,0.015782),(-0.003628,-0.020487)
(0.029576,0.012526),(-0.005339,-0.026419)
(-0.056523,-0.028826),(0.003954,0.004450)
(0.079957,-0.004187),(-0.016018,-0.022147)
(0.064571,0.094460),(-0.014811,-0.005773)
(0.067673,-0.022515),(-0.012686,0.019473)
(-0.019820,-0.088388),(-0.006586,0.004133)
(-0.070266,0.055143),(-0.004431,-0.015398)
(0.007880,-0.052826),(0.011061,0.016196)
(0.006550,0.039549),(-0.022132,0.002501)
(-0.087846,0.054970),(-0.004340,0.011849)
(-0.042494,0.051331),(0.025022,-0.004763)
(-0.009896,0.048975),(0.011020,0.014845)
(0.067280,-0.021637),(-0.014464,0.002994)
(-0.074725,0.059707),(-0.006433,-0.004086)
(0.056737,-0.008177),(-0.021005,-0.001594)
(0.079931,0.003550),(0.014309,-0.023813)
(-0.044123,-0.084969),(0.013084,0.000885)
(0.004789,-0.052225),(-0.004217,-0.010195)
(0.036451,-0.008958),(-0.002731,-0.009387)
(-0.006309,-0.012966),(0.004800,0.031795)
(0.046065,0.044868),(-0.013094,-0.015993)
(-0.012711,0.040185),(0.045857,0.000348)
(-0.082560,0.018011),(-0.041152,0.016946)
(0.059789,-0.014487),(0.022569,-0.003992)
(-0.035354,0.036216),(-0.017345,0.035079)
(0.006775,-0.029619),(0.005269,-0.021523)
(-0.034893,0.033061),(-0.014799,-0.000750)
(-0.013121,-0.020828),(0.004317,0.021272)
(0.058362,-0.011620),(0.003488,-0.002176)
(-0.011847,0.079289),(0.005111,0.018725)
(-0.003896,-0.063424),(-0.022145,-0.029952)
(0.049936,0.043380),(0.001660,-0.002850)
(-0.022432,-0.026314),(-0.005095,0.007490)
(-0.056976,0.006922),(-0.021900,-0.003918)
(0.056762,0.052217),(-0.014599,0.007659)
(-0.024467,0.045973),(0.010733,-0.009614)
(-0.004978,0.009009),(-0.008726,0.002511)
(-0.024659,-0.026398),(-0.016580,-0.003989)
(-0.038385,0.032211),(-0.005569,0.010074)
(0.033499,0.021963),(-0.004821,0.023238)
(-0.085199,0.017727),(-0.004909,0.016403)
(-0.022943,-0.039348),(-0.011886,0.028982)
(0.034145,0.008753),(-0.009660,0.001999)
(-0.021180,0.013211),(-0.021217,-0.009592)
(-0.010488,0.005435),(0.011915,0.034417)
(-0.003522,0.014502),(-0.032220,-0.001658)
(0.009676,0.033080),(0.012602,0.002625)
(-0.081145,0.003021),(-0.004542,-0.002133)
(0.052524,-0.002414),(-0.002424,0.002424)
(-0.033728,0.065673),(-0.000162,0.034203)
(-0.043213,-0.014014),(0.003270,0.007744)
(0.009055,-0.043693),(-0.018524,0.002203)
(0.011956,0.070941),(0.020211,0.023434)
(-0.076094,-0.034499),(-0.006155,0.000294)
(0.056977,-0.021702),(0.011230,-0.018853)
(-0.013111,0.041785),(0.004943,0.001798)
(-0.018045,0.001019),(-0.009520,0.003057)
(0.013738,0.043325),(0.026655,0.001102)
(-0.000959,0.011358),(-0.006634,0.005426)
(0.022450,0.009138),(0.018484,0.031392)
(0.010908,0.001129),(-0.001586,-0.008709)
(0.003104,0.032003),(0.025042,0.026645)
(0.009780,0.014060),(0.000185,-0.020775)
(0.008296,-0.010630),(-0.029790,-0.005566)
(0.041305,-0.004605),(0.006460,0.013886)
(-0.006457,0.010073),(-0.003195,-0.006621)
(0.013251,-0.036594),(-0.013827,-0.003970)
(0.008242,-0.018228),(-0.000177,-0.011919)
(-0.028954,-0.014272),(0.016198,-0.003733)
(-0.012456,-0.000614),(0.023277,0.021487)
(0.011882,-0.013234),(0.035395,-0.018971)
(0.000901,-0.031443),(0.016130,0.014354)
(-0.006253,-0.003693),(-0.015261,0.013800)
(0.002432,0.015242),(-0.016040,0.005229)
(0.011178,-0.023272),(0.012065,-0.000024)
(0.021050,-0.002073),(0.000003,0.000266)
(0.004420,-0.047379),(-0.009042,0.039873)
(-0.009929,-0.014335),(-0.007853,0.019412)
(-0.048967,-0.009639),(0.004053,0.004837)
(-0.029199,0.036306),(0.002534,0.003478)
(-0.024536,0.010734),(0.022915,0.022820)
(-0.009584,0.023186),(0.005850,-0.024642)
(-0.015177,0.009449),(0.014267,-0.025949)
(0.035027,0.007764),(-0.035779,0.013956)
(-0.001254,0.005456),(-0.019030,0.010813)
(0.059790,-0.017906),(0.004372,-0.026363)
(-0.052659,-0.025565),(-0.011272,-0.021580)
(0.036610,-0.015513),(-0.026497,-0.002010)
(-0.029437,-0.004308),(-0.009503,0.010344)
(-0.072303,0.009904),(0.004961,0.048551)
(0.092546,0.033525),(0.002749,-0.025503)
(-0.021040,-0.041430),(-0.009319,0.014978)
(0.008793,-0.035088),(0.000354,-0.013412)
(0.026854,0.046980),(0.028663,-0.002960)
(-0.008946,0.020333),(0.016843,0.006000)
(0.008538,-0.022844),(-0.015524,0.006019)
(-0.017881,-0.050688),(-0.026892,-0.019079)
(-0.003426,0.045725),(0.005180,0.007264)
(0.022926,-0.080415),(-0.035853,0.002743)
(0.003449,-0.031816),(-0.015605,0.019275)
(-0.084693,0.036445),(-0.005009,-0.000640)
(0.095092,-0.035343),(0.005525,0.002203)
(-0.024457,-0.003224),(-0.017327,-0.004489)
(0.032766,-0.015325),(0.013608,0.029920)
(-0.039159,0.004987),(-0.021892,0.028000)
(-0.024154,-0.021837),(0.033345,-0.043472)
(0.002808,0.001737),(-0.009396,-0.004913)
(0.008384,-0.034491),(0.002104,0.012002)
(-0.014959,0.041774),(0.001198,-0.002788)
(-0.007234,-0.019559),(0.003755,0.003495)
(0.001235,-0.031677),(-0.019633,-0.025212)
(-0.077354,0.026585),(-0.024977,0.016522)
(0.039632,-0.034753),(-0.005470,0.032413)
(-0.007835,0.006186),(0.012946,0.006574)
(0.020487,-0.020285),(-0.018367,-0.012697)
(0.024975,0.006563),(-0.037283,0.009136)
(0.021696,-0.005937),(-0.027606,0.014627)
(0.053036,0.029777),(0.034503,-0.007472)
(-0.011966,0.017922),(-0.016607,0.016169)
(0.032297,0.001877),(-0.005161,-0.005013)
(-0.021745,0.043406),(-0.016540,0.003547)
(-0.090194,-0.003577),(-0.023187,0.008904)
(-0.009810,-0.006948),(-0.008746,0.003509)
(0.028346,0.004464),(0.014628,0.021438)
(-0.087033,-0.002719),(0.016279,-0.001454)
(0.001103,-0.029047),(0.016798,-0.019932)
(0.018533,-0.019665),(-0.010556,-0.010011)
(-0.033535,0.026732),(0.004806,0.025218)
(-0.030717,-0.004667),(-0.029635,0.006390)
(-0.032769,0.015689),(0.000682,0.003771)
(0.016981,-0.060930),(-0.017784,-0.021244)
(0.044812,-0.026884),(0.001786,0.008135)
(0.046798,0.005716),(0.015204,-0.001604)
(0.016136,0.064577),(-0.021295,-0.004754)
(-0.026448,0.018706),(-0.005046,-0.019969)
(0.005139,0.021203),(0.034754,0.021489)
(0.056261,-0.032471),(0.012375,-0.010735)
(-0.006310,-0.056665),(0.001862,0.007570)
(-0.013531,0.050291),(-0.003490,-0.027643)
(0.025669,-0.007183),(0.001308,0.022276)
(-0.041035,0.070312),(-0.003309,0.015812)
(0.023470,-0.010915),(-0.002393,-0.016769)
(0.010378,0.030190),(0.017331,0.005078)
(-0.059657,-0.030558),(0.006137,0.003207)
(0.003993,0.005773),(0.001651,-0.005267)
(-0.001337,-0.031305),(-0.026441,0.003842)
(0.015577,-0.007065),(0.008858,-0.011507)
(0.055561,0.038053),(-0.018210,0.005079)
(0.007451,0.009034),(0.006033,0.010500)
(0.031140,0.000574),(0.001330,-0.020633)
(-0.030439,0.020062),(0.002770,0.032843)
(0.008723,0.029199),(0.009681,-0.013728)
(-0.040425,0.001020),(0.005479,-0.017487)
(-0.087087,0.001112),(-0.014163,-0.007021)
(0.096330,-0.013471),(0.011448,-0.005836)
(0.025270,0.022478),(0.015159,0.025657)
(-0.041939,0.014018),(-0.002479,0.021190)
(0.008281,0.005433),(0.005047,-0.001708)
(-0.022358,-0.010506),(-0.025308,0.021615)
(-0.035970,-0.015793),(-0.000750,0.007039)
(-0.007479,0.010971),(-0.001789,-0.002305)
(-0.039251,-0.010632),(-0.007399,0.013965)
(0.003628,-0.004665),(0.003495,0.007618)
(-0.012609,-0.053572),(0.027503,0.010068)
(0.009781,-0.017347),(-0.000912,-0.001251)
(0.001176,-0.047677),(0.013382,0.004994)
(-0.002029,-0.029189),(-0.016614,-0.015269)
(0.037243,-0.021287),(0.012098,-0.001180)
(-0.001062,0.018769),(0.006735,-0.018646)
(-0.014971,0.011010),(-0.009275,0.011183)
(0.046928,0.049398),(0.006632,-0.002594)
(0.005473,0.007653),(0.017457,0.012551)
(0.002631,0.014323),(0.015555,0.019066)
(-0.009023,-0.036499),(0.022661,-0.018322)
(0.010321,-0.013452),(0.004877,-0.025356)
(-0.009816,0.006619),(-0.015207,-0.004029)
(-0.006866,-0.002184),(-0.003326,0.014276)
(0.033083,0.028661),(0.010002,-0.020342)
(-0.004444,0.014192),(0.013421,0.000371)
(-0.009500,-0.021595),(-0.002071,-0.009312)
(-0.034039,0.000478),(-0.013572,-0.007744)
(0.006462,0.009648),(-0.012219,0.007280)
(0.012310,0.006097),(-0.002211,-0.004829)
(0.003718,0.002609),(-0.018059,0.014735)
(0.007911,-0.017271),(0.029014,0.004378)
(0.034548,0.025465),(0.006153,0.006878)
(-0.008171,0.037332),(0.006680,-0.020351)
(-0.014409,-0.027359),(0.021554,-0.020485)
(-0.006112,0.005755),(0.001262,-0.012968)
(-0.004672,0.037425),(0.010305,0.003570)
(0.007408,-0.012477),(0.017317,-0.029050)
(-0.025736,0.021785),(-0.020078,0.007454)
(-0.029326,-0.009467),(-0.024976,0.004468)
(-0.004588,0.006335),(0.010117,0.037387)
(0.006750,-0.005778),(-0.012677,0.022327)
(-0.015364,-0.013369),(0.001252,-0.015632)
(0.015359,0.014751),(0.003222,0.039407)
(0.010541,-0.011241),(0.018182,-0.004373)
(-0.006419,0.015212),(0.011546,-0.022659)
(0.003380,-0.012872),(-0.003852,0.011531)
(-0.002990,0.046392),(0.003253,-0.022080)
(0.030110,0.014879),(-0.028416,0.015042)
(-0.016345,0.012291),(-0.031389,-0.004079)
(0.006297,0.000341),(-0.001191,0.009386)
(0.007760,-0.024319),(-0.036743,0.002683)
(-0.009342,0.000308),(0.016471,0.024153)
(-0.008682,-0.008046),(-0.016127,-0.010122)
(-0.019370,0.034584),(-0.016705,0.015042)
(0.019326,0.028787),(-0.004069,0.013111)
(0.010106,0.003180),(-0.004131,-0.021994)
(0.006397,0.010759),(-0.011867,0.007704)
(-0.001689,0.011251),(0.004698,0.010344)
(0.024438,0.016273),(0.010438,0.021954)
(0.001118,-0.005205),(0.024268,-0.002743)
(-0.017860,-0.014276),(-0.015976,0.019343)
(0.003376,0.002064),(-0.001386,-0.007743)
(-0.031306,0.004056),(-0.007908,0.009282)
(-0.005769,0.026940),(0.017049,0.029227)
(0.032164,0.004949),(-0.001565,-0.020995)
(-0.016435,0.019675),(-0.027529,0.013181)
(-0.013768,-0.015438),(-0.016876,0.002611)
(-0.002015,0.009430),(0.019911,0.008632)
(-0.002090,-0.013501),(-0.015150,-0.015181)
(-0.007461,0.015548),(0.003976,0.031706)
(0.040922,0.027418),(-0.001710,0.003373)
(0.011107,-0.036315),(-0.009452,0.023096)
(0.004611,-0.003413),(-0.008404,-0.005928)
(-0.012601,0.016158),(0.004575,0.001637)
(0.002238,-0.005221),(0.008260,-0.006539)
(0.003302,-0.005196),(-0.016282,-0.011652)
(-0.018404,-0.001088),(0.014656,0.008553)
(-0.005344,0.015043),(-0.019235,0.011626)
(0.009170,-0.010318),(-0.007949,0.005361)
(-0.013970,-0.002085),(0.035247,0.011508)
(0.004611,-0.005000),(0.000599,-0.004841)
(-0.009097,-0.020576),(-0.042368,-0.014342)
(-0.019238,0.021418),(0.000905,-0.004887)
(0.021592,-0.006385),(0.011891,-0.002362)
(-0.005702,0.005042),(0.022226,0.004686)
(0.014945,0.007204),(0.016850,-0.023251)
(-0.001674,-0.007873),(0.004723,0.017460)
(0.002072,0.000119),(0.010027,-0.000188)
(-0.016381,0.004314),(0.008833,-0.049363)
(0.004832,-0.000978),(-0.006476,0.000012)
(-0.005517,-0.013437),(-0.011035,0.010340)
(-0.009693,0.026004),(0.024655,-0.010830)
(0.008581,-0.027742),(0.012397,0.011987)
(-0.007233,0.007545),(-0.009845,0.031028)
(-0.011298,0.033744),(-0.003583,-0.006821)
(0.008876,0.007101),(-0.006786,0.005247)
(-0.008000,-0.021910),(-0.000387,-0.006736)
(0.009107,0.000634),(-0.010527,0.019869)
(0.003005,-0.023085),(-0.001536,-0.012272)
(-0.024325,0.020376),(0.019185,0.011291)
(0.021299,0.044127),(0.000898,0.010597)
(0.012857,-0.008208),(-0.007148,-0.001583)
(0.002476,-0.007136),(-0.016772,-0.000519)
(0.001717,0.002680),(0.006319,-0.021937)
(0.013337,-0.001216),(0.016423,-0.006850)
(0.017158,-0.004622),(0.006864,-0.002528)
(-0.016399,-0.009016),(-0.014567,0.023345)
(0.004291,0.001822),(0.016596,0.006385)
(-0.009843,0.034533),(0.000817,-0.018192)
(0.010271,0.010288),(-0.025462,-0.020974)
(-0.005121,0.005666),(-0.016052,-0.030998)
(0.008647,-0.000809),(0.029676,-0.001441)
(-0.007482,0.020578),(-0.003777,0.011331)
(0.009004,0.012050),(0.022542,0.001207)
(0.027070,-0.015417),(-0.000050,-0.007114)
(-0.038823,-0.000487),(0.021062,-0.002176)
(0.011657,0.016972),(0.004522,-0.014182)
(0.005843,-0.016166),(-0.018403,-0.017400)
(0.015353,0.015872),(-0.013443,-0.011049)
(-0.032048,0.004384),(-0.018315,-0.020760)
(0.012927,0.001702),(0.018064,-0.012579)
(0.002709,0.001539),(-0.020141,0.034525)
(-0.024498,-0.023154),(-0.022019,-0.019874)
(-0.023026,0.017616),(0.017621,0.002576)
(-0.006696,-0.004312),(0.055530,0.000546)
(0.015903,0.004913),(-0.026493,0.022094)
(0.013464,0.021568),(-0.028428,-0.037489)
(0.002454,-0.004737),(0.033604,0.001381)
(0.014636,0.012113),(0.002634,0.027053)
(0.012225,0.003230),(0.005266,0.017125)
(0.005250,0.005291),(-0.006014,-0.017185)
(-0.014463,0.014566),(0.004936,0.019967)
(0.013769,-0.014666),(-0.021564,0.022854)
(-0.030160,-0.009220),(-0.018800,0.006703)
(-0.018061,-0.026572),(0.013781,-0.001456)
(0.006542,-0.014663),(-0.027503,0.019669)
(0.013318,0.024275),(-0.001627,-0.020218)
(-0.001627,0.020218),(0.013318,-0.024275)
(-0.027503,-0.019669),(0.006542,0.014663)
(0.013781,0.001456),(-0.018061,0.026572)
(-0.018800,-0.006703),(-0.030160,0.009220)
(-0.021564,-0.022854),(0.013769,0.014666)
(0.004936,-0.019967),(-0.014463,-0.014566)
(-0.006014,0.017185),(0.005250,-0.005291)
(0.005266,-0.017125),(0.012225,-0.003230)
(0.002634,-0.027053),(0.014636,-0.012113)
(0.033604,-0.001381),(0.002454,0.004737)
(-0.028428,0.037489),(0.013464,-0.021568)
(-0.026493,-0.022094),(0.015903,-0.004913)
(0.055530,-0.000546),(-0.006696,0.004312)
(0.017621,-0.002576),(-0.023026,-0.017616)
(-0.022019,0.019874),(-0.024498,0.023154)
(-0.020141,-0.034525),(0.002709,-0.001539)
(0.018064,0.012579),(0.012927,-0.001702)
(-0.018315,0.020760),(-0.032048,-0.004384)
(-0.013443,0.011049),(0.015353,-0.015872)
(-0.018403,0.017400),(0.005843,0.016166)
(0.004522,0.014182),(0.011657,-0.016972)
(0.021062,0.002176),(-0.038823,0.000487)
(-0.000050,0.007114),(0.027070,0.015417)
(0.022542,-0.001207),(0.009004,-0.012050)
(-0.003777,-0.011331),(-0.007482,-0.020578)
(0.029676,0.001441),(0.008647,0.000809)
(-0.016052,0.030998),(-0.005121,-0.005666)
(-0.025462,0.020974),(0.010271,-0.010288)
(0.000817,0.018192),(-0.009843,-0.034533)
(0.016596,-0.006385),(0.004291,-0.001822)
(-0.014567,-0.023345),(-0.016399,0.009016)
(0.006864,0.002528),(0.017158,0.004622)
(0.016423,0.006850),(0.013337,0.001216)
(0.006319,0.021937),(0.001717,-0.002680)
(-0.016772,0.000519),(0.002476,0.007136)
(-0.007148,0.001583),(0.012857,0.008208)
(0.000898,-0.010597),(0.021299,-0.044127)
(0.019185,-0.011291),(-0.024325,-0.020376)
(-0.001536,0.012272),(0.003005,0.023085)
