(151.298269,0.000000),(-0.031957,0.000000)
(0.009944,0.067371),(0.046404,-0.019983)
(0.002468,-0.031969),(-0.033830,0.028061)
(-0.053884,0.023092),(-0.061760,0.032466)
(0.005614,0.012713),(-0.049935,0.080347)
(-0.008454,0.029345),(0.060024,-0.013399)
(-0.011407,0.024599),(0.006970,0.021627)
(0.013280,-0.009438),(0.042563,-0.012886)
(-0.026868,-0.006075),(-0.011640,-0.050126)
(0.015718,0.070258),(-0.043552,-0.030857)
(0.015336,-0.087966),(0.002565,-0.024369)
(-0.013006,0.051469),(-0.020977,0.079046)
(0.054379,0.077680),(0.002359,0.013932)
(0.004784,-0.045556),(-0.007911,0.032125)
(-0.046306,0.092887),(-0.013613,0.027304)
(0.053500,-0.005189),(0.023210,0.078589)
(-0.049812,-0.035853),(0.058718,0.039784)
(-0.063472,-0.020084),(0.034146,0.019368)
(-0.080421,0.060544),(0.012412,0.102997)
(-0.013599,0.069551),(-0.035254,-0.057994)
(0.003763,-0.107577),(-0.024284,-0.021977)
(-0.137509,0.100005),(-0.102223,0.043818)
(0.079961,-0.022314),(-0.018783,0.105633)
(-0.128714,-0.060870),(0.037071,0.007738)
(-0.017688,-0.007229),(0.139562,-0.073486)
(-0.065548,0.044845),(0.035611,0.015128)
(-0.243497,-0.015841),(-0.014643,-0.083036)
(0.071494,-0.205269),(0.051897,0.013290)
(0.036654,0.009313),(-0.079315,0.041719)
(-0.041652,0.045539),(-0.078766,0.081949)
(0.168996,-0.057715),(0.079154,0.028681)
(0.036834,0.068301),(0.035781,0.039741)
(-0.002310,0.038842),(0.048483,0.017387)
(0.119085,0.119222),(0.097711,-0.022095)
(-0.010811,0.020788),(0.013508,-0.025268)
(-0.073305,0.067646),(-0.045021,-0.088720)
(0.096946,0.035120),(-0.079475,-0.010359)
(-0.031191,0.063696),(-0.056817,-0.006671)
(-0.069693,0.017608),(-0.060804,-0.052371)
(-0.044815,0.109899),(-0.013207,0.022409)
(0.053501,0.047766),(0.027210,0.108944)
(-0.021622,-0.048240),(-0.006627,0.024149)
(0.008714,0.031846),(-0.017375,-0.059527)
(-0.105712,-0.055032),(0.017171,0.071175)
(-0.068800,0.049554),(0.075776,0.034316)
(0.038652,-0.014815),(0.108753,-0.058722)
(-0.047253,-0.020286),(0.012366,-0.031237)
(0.004382,0.072057),(-0.102972,-0.043827)
(-0.042945,-0.078161),(-0.052291,-0.037791)
(-0.033607,-0.065855),(-0.045280,0.111935)
(0.095318,-0.023562),(0.055121,0.074398)
(0.016139,0.066929),(0.135727,-0.005591)
(-0.069285,0.058774),(0.053391,-0.051555)
(0.124542,0.027776),(-0.087266,-0.071723)
(-0.023995,0.057573),(-0.037923,-0.082685)
(0.039556,0.014961),(0.017692,0.067158)
(0.027422,-0.006306),(0.015683,-0.053915)
