48,16 -1
47,17 -1
46,18 -1
45,19 -1
44,20 -1
43,21 -1
42,22 166
41,23 -1
40,24 -1
39,25 165
38,26 159
37,27 159
36,28 155
35,29 152
34,30 147
33,31 149
32,32 137
31,33 141
30,34 133
29,35 146
28,36 137
27,37 144
26,38 141
25,39 146
24,40 -1
23,41 -1
22,42 136
21,43 -1
20,44 -1
19,45 -1
18,46 -1
17,47 -1
16,48 -1
48,15 -1
47,16 -1
46,17 -1
45,18 -1
44,19 -1
43,20 -1
42,21 -1
41,22 -1
40,23 -1
39,24 169
38,25 147
37,26 151
36,27 145
35,28 147
34,29 147
33,30 141
32,31 135
31,32 132
30,33 133
29,34 140
28,35 136
27,36 128
26,37 138
25,38 131
24,39 142
23,40 -1
22,41 -1
21,42 -1
20,43 -1
19,44 -1
18,45 -1
17,46 -1
16,47 -1
15,48 -1
48,14 -1
47,15 -1
46,16 -1
45,17 -1
44,18 -1
43,19 -1
42,20 -1
41,21 -1
40,22 -1
39,23 148
38,24 158
37,25 142
36,26 148
35,27 138
34,28 145
33,29 132
32,30 132
31,31 131
30,32 130
29,33 125
28,34 138
27,35 126
26,36 127
25,37 127
24,38 134
23,39 123
22,40 -1
21,41 -1
20,42 -1
19,43 -1
18,44 -1
17,45 -1
16,46 -1
15,47 -1
14,48 -1
48,13 -1
47,14 -1
46,15 -1
45,16 -1
44,17 -1
43,18 -1
42,19 -1
41,20 152
40,21 149
39,22 152
38,23 150
37,24 144
36,25 126
35,26 135
34,27 132
33,28 130
32,29 134
31,30 128
30,31 125
29,32 127
28,33 121
27,34 123
26,35 120
25,36 120
24,37 118
23,38 117
22,39 123
21,40 125
20,41 121
19,42 -1
18,43 -1
17,44 -1
16,45 -1
15,46 -1
14,47 -1
13,48 -1
48,12 -1
47,13 -1
46,14 -1
45,15 -1
44,16 -1
43,17 -1
42,18 -1
41,19 -1
40,20 144
39,21 134
38,22 130
37,23 139
36,24 137
35,25 132
34,26 131
33,27 128
32,28 119
31,29 126
30,30 127
29,31 119
28,32 121
27,33 115
26,34 119
25,35 119
24,36 112
23,37 118
22,38 117
21,39 111
20,40 112
19,41 -1
18,42 -1
17,43 -1
16,44 -1
15,45 -1
14,46 -1
13,47 -1
12,48 -1
48,11 -1
47,12 -1
46,13 -1
45,14 -1
44,15 -1
43,16 -1
42,17 -1
41,18 141
40,19 150
39,20 141
38,21 138
37,22 129
36,23 133
35,24 127
34,25 127
33,26 127
32,27 119
31,28 113
30,29 115
29,30 117
28,31 111
27,32 115
26,33 111
25,34 108
24,35 118
23,36 108
22,37 109
21,38 110
20,39 113
19,40 115
18,41 128
17,42 -1
16,43 -1
15,44 -1
14,45 -1
13,46 -1
12,47 -1
11,48 -1
48,10 -1
47,11 -1
46,12 -1
45,13 -1
44,14 -1
43,15 -1
42,16 -1
41,17 -1
40,18 145
39,19 142
38,20 125
37,21 130
36,22 123
35,23 123
34,24 120
33,25 119
32,26 114
31,27 113
30,28 109
29,29 110
28,30 108
27,31 111
26,32 103
25,33 108
24,34 110
23,35 104
22,36 109
21,37 110
20,38 108
19,39 124
18,40 113
17,41 -1
16,42 -1
15,43 -1
14,44 -1
13,45 -1
12,46 -1
11,47 -1
10,48 -1
48,9 -1
47,10 -1
46,11 -1
45,12 -1
44,13 -1
43,14 -1
42,15 -1
41,16 137
40,17 -1
39,18 131
38,19 -1
37,20 120
36,21 117
35,22 115
34,23 112
33,24 108
32,25 115
31,26 108
30,27 105
29,28 100
28,29 106
27,30 100
26,31 106
25,32 104
24,33 102
23,34 102
22,35 105
21,36 104
20,37 105
19,38 -1
18,39 108
17,40 -1
16,41 111
15,42 -1
14,43 -1
13,44 -1
12,45 -1
11,46 -1
10,47 -1
9,48 -1
48,8 -1
47,9 -1
46,10 -1
45,11 -1
44,12 -1
43,13 -1
42,14 -1
41,15 121
40,16 132
39,17 -1
38,18 118
37,19 109
36,20 121
35,21 112
34,22 107
33,23 106
32,24 109
31,25 103
30,26 101
29,27 96
28,28 101
27,29 99
26,30 101
25,31 100
24,32 97
23,33 99
22,34 97
21,35 98
20,36 101
19,37 95
18,38 103
17,39 -1
16,40 101
15,41 96
14,42 -1
13,43 -1
12,44 -1
11,45 -1
10,46 -1
9,47 -1
