Archivo,Datos
72,"0.5,3.5,n1.5,3.5,n2.5,3.5,n3.5,3.5,n0.5,2.5,1 (1)n1.5,2.5,n2.5,2.5,1 (2)n3.5,2.5,1 (1)n0.5,1.5,1 (2)n1.5,1.5,1 (-)n2.5,1.5,1 (-)n3.5,1.5,n0.5,0.5,n1.5,0.5,1 (-)n2.5,0.5,1 (-)n3.5,0.5,1 (1)"
73,"0.5,3.5,n1.5,3.5,n2.5,3.5,n3.5,3.5,n0.5,2.5,1 (1)n1.5,2.5,n2.5,2.5,1 (2)n3.5,2.5,1 (1)n0.5,1.5,1 (2)n1.5,1.5,1 (1)n2.5,1.5,1 (2)n3.5,1.5,n0.5,0.5,1 (1)n1.5,0.5,n2.5,0.5,1 (2)n3.5,0.5,1 (1)"
74,"0.5,3.5,n1.5,3.5,n2.5,3.5,n3.5,3.5,n0.5,2.5,1 (1)n1.5,2.5,n2.5,2.5,1 (2)n3.5,2.5,1 (1)n0.5,1.5,1 (-)n1.5,1.5,1 (-)n2.5,1.5,1 (3)n3.5,1.5,n0.5,0.5,1 (-)n1.5,0.5,1 (-)n2.5,0.5,n3.5,0.5,1 (1)"
75,"0.5,3.5,n1.5,3.5,n2.5,3.5,n3.5,3.5,n0.5,2.5,1 (1)n1.5,2.5,n2.5,2.5,1 (2)n3.5,2.5,1 (1)n0.5,1.5,1 (-)n1.5,1.5,1 (-)n2.5,1.5,1 (-)n3.5,1.5,n0.5,0.5,1 (-)n1.5,0.5,1 (-)n2.5,0.5,1 (-)n3.5,0.5,"
76,"0.5,3.5,n1.5,3.5,n2.5,3.5,n3.5,3.5,n0.5,2.5,1 (1)n1.5,2.5,n2.5,2.5,1 (-)n3.5,2.5,1 (-)n0.5,1.5,1 (2)n1.5,1.5,1 (1)n2.5,1.5,1 (-)n3.5,1.5,1 (-)n0.5,0.5,n1.5,0.5,n2.5,0.5,1 (-)n3.5,0.5,1 (-)"
77,"0.5,3.5,n1.5,3.5,n2.5,3.5,n3.5,3.5,n0.5,2.5,1 (1)n1.5,2.5,n2.5,2.5,1 (-)n3.5,2.5,1 (-)n0.5,1.5,1 (2)n1.5,1.5,1 (2)n2.5,1.5,1 (-)n3.5,1.5,1 (-)n0.5,0.5,n1.5,0.5,1 (1)n2.5,0.5,n3.5,0.5,1 (1)"
78,"0.5,3.5,n1.5,3.5,n2.5,3.5,n3.5,3.5,n0.5,2.5,1 (1)n1.5,2.5,n2.5,2.5,1 (-)n3.5,2.5,1 (-)n0.5,1.5,1 (2)n1.5,1.5,1 (-)n2.5,1.5,1 (-)n3.5,1.5,1 (-)n0.5,0.5,n1.5,0.5,1 (-)n2.5,0.5,1 (-)n3.5,0.5,"
79,"0.5,3.5,n1.5,3.5,n2.5,3.5,n3.5,3.5,n0.5,2.5,1 (1)n1.5,2.5,n2.5,2.5,1 (-)n3.5,2.5,1 (-)n0.5,1.5,1 (2)n1.5,1.5,1 (1)n2.5,1.5,1 (-)n3.5,1.5,1 (-)n0.5,0.5,1 (1)n1.5,0.5,n2.5,0.5,n3.5,0.5,1 (1)"
80,"0.5,3.5,n1.5,3.5,n2.5,3.5,n3.5,3.5,n0.5,2.5,1 (1)n1.5,2.5,n2.5,2.5,1 (-)n3.5,2.5,1 (-)n0.5,1.5,1 (2)n1.5,1.5,1 (1)n2.5,1.5,1 (-)n3.5,1.5,1 (-)n0.5,0.5,1 (1)n1.5,0.5,n2.5,0.5,1 (1)n3.5,0.5,"
81,"0.5,3.5,n1.5,3.5,n2.5,3.5,n3.5,3.5,n0.5,2.5,1 (1)n1.5,2.5,n2.5,2.5,1 (-)n3.5,2.5,1 (-)n0.5,1.5,1 (-)n1.5,1.5,1 (-)n2.5,1.5,1 (-)n3.5,1.5,1 (-)n0.5,0.5,1 (-)n1.5,0.5,1 (-)n2.5,0.5,n3.5,0.5,"
82,"0.5,3.5,n1.5,3.5,n2.5,3.5,n3.5,3.5,n0.5,2.5,1 (1)n1.5,2.5,1 (1)n2.5,2.5,1 (1)n3.5,2.5,1 (2)n0.5,1.5,n1.5,1.5,n2.5,1.5,n3.5,1.5,1 (1)n0.5,0.5,1 (1)n1.5,0.5,1 (1)n2.5,0.5,1 (1)n3.5,0.5,1 (2)"
83,"0.5,3.5,n1.5,3.5,n2.5,3.5,n3.5,3.5,n0.5,2.5,1 (1)n1.5,2.5,1 (1)n2.5,2.5,1 (2)n3.5,2.5,1 (1)n0.5,1.5,n1.5,1.5,n2.5,1.5,1 (1)n3.5,1.5,n0.5,0.5,1 (1)n1.5,0.5,1 (1)n2.5,0.5,1 (2)n3.5,0.5,1 (1)"
84,"0.5,3.5,n1.5,3.5,n2.5,3.5,n3.5,3.5,n0.5,2.5,1 (1)n1.5,2.5,1 (1)n2.5,2.5,1 (-)n3.5,2.5,1 (-)n0.5,1.5,n1.5,1.5,n2.5,1.5,1 (-)n3.5,1.5,1 (-)n0.5,0.5,n1.5,0.5,1 (1)n2.5,0.5,1 (-)n3.5,0.5,1 (-)"
85,"0.5,3.5,n1.5,3.5,n2.5,3.5,n3.5,3.5,n0.5,2.5,1 (1)n1.5,2.5,1 (1)n2.5,2.5,1 (-)n3.5,2.5,1 (-)n0.5,1.5,n1.5,1.5,n2.5,1.5,1 (-)n3.5,1.5,1 (-)n0.5,0.5,1 (1)n1.5,0.5,n2.5,0.5,1 (-)n3.5,0.5,1 (-)"
86,"0.5,3.5,n1.5,3.5,n2.5,3.5,n3.5,3.5,n0.5,2.5,1 (1)n1.5,2.5,1 (1)n2.5,2.5,1 (-)n3.5,2.5,1 (-)n0.5,1.5,n1.5,1.5,n2.5,1.5,1 (-)n3.5,1.5,1 (-)n0.5,0.5,1 (1)n1.5,0.5,1 (1)n2.5,0.5,n3.5,0.5,1 (1)"
87,"0.5,3.5,n1.5,3.5,n2.5,3.5,n3.5,3.5,n0.5,2.5,1 (1)n1.5,2.5,1 (1)n2.5,2.5,1 (-)n3.5,2.5,1 (-)n0.5,1.5,n1.5,1.5,n2.5,1.5,1 (-)n3.5,1.5,1 (-)n0.5,0.5,1 (1)n1.5,0.5,1 (1)n2.5,0.5,1 (2)n3.5,0.5,"
88,"0.5,3.5,n1.5,3.5,n2.5,3.5,n3.5,3.5,n0.5,2.5,1 (1)n1.5,2.5,1 (2)n2.5,2.5,1 (1)n3.5,2.5,1 (2)n0.5,1.5,n1.5,1.5,1 (1)n2.5,1.5,n3.5,1.5,1 (1)n0.5,0.5,n1.5,0.5,1 (2)n2.5,0.5,1 (1)n3.5,0.5,1 (2)"
89,"0.5,3.5,n1.5,3.5,n2.5,3.5,n3.5,3.5,n0.5,2.5,1 (1)n1.5,2.5,1 (2)n2.5,2.5,1 (1)n3.5,2.5,1 (2)n0.5,1.5,n1.5,1.5,1 (1)n2.5,1.5,n3.5,1.5,1 (1)n0.5,0.5,1 (1)n1.5,0.5,n2.5,0.5,1 (1)n3.5,0.5,1 (2)"
90,"0.5,3.5,n1.5,3.5,n2.5,3.5,n3.5,3.5,n0.5,2.5,1 (1)n1.5,2.5,1 (2)n2.5,2.5,1 (1)n3.5,2.5,1 (2)n0.5,1.5,n1.5,1.5,1 (1)n2.5,1.5,n3.5,1.5,1 (1)n0.5,0.5,1 (1)n1.5,0.5,1 (2)n2.5,0.5,n3.5,0.5,1 (1)"
91,"0.5,3.5,n1.5,3.5,n2.5,3.5,n3.5,3.5,n0.5,2.5,1 (1)n1.5,2.5,1 (2)n2.5,2.5,1 (1)n3.5,2.5,1 (2)n0.5,1.5,n1.5,1.5,1 (1)n2.5,1.5,n3.5,1.5,1 (1)n0.5,0.5,1 (1)n1.5,0.5,1 (2)n2.5,0.5,1 (1)n3.5,0.5,"
92,"0.5,3.5,n1.5,3.5,n2.5,3.5,n3.5,3.5,n0.5,2.5,1 (1)n1.5,2.5,1 (-)n2.5,2.5,1 (-)n3.5,2.5,1 (1)n0.5,1.5,n1.5,1.5,1 (-)n2.5,1.5,1 (-)n3.5,1.5,n0.5,0.5,n1.5,0.5,1 (-)n2.5,0.5,1 (-)n3.5,0.5,1 (1)"
93,"0.5,3.5,n1.5,3.5,n2.5,3.5,n3.5,3.5,n0.5,2.5,1 (1)n1.5,2.5,1 (-)n2.5,2.5,1 (-)n3.5,2.5,1 (1)n0.5,1.5,n1.5,1.5,1 (-)n2.5,1.5,1 (-)n3.5,1.5,n0.5,0.5,1 (1)n1.5,0.5,n2.5,0.5,1 (2)n3.5,0.5,1 (1)"
94,"0.5,3.5,n1.5,3.5,n2.5,3.5,n3.5,3.5,n0.5,2.5,1 (1)n1.5,2.5,1 (-)n2.5,2.5,1 (-)n3.5,2.5,1 (-)n0.5,1.5,n1.5,1.5,1 (-)n2.5,1.5,1 (-)n3.5,1.5,1 (-)n0.5,0.5,n1.5,0.5,n2.5,0.5,1 (-)n3.5,0.5,1 (-)"
95,"0.5,3.5,n1.5,3.5,n2.5,3.5,n3.5,3.5,n0.5,2.5,1 (1)n1.5,2.5,1 (-)n2.5,2.5,1 (-)n3.5,2.5,1 (-)n0.5,1.5,n1.5,1.5,1 (-)n2.5,1.5,1 (-)n3.5,1.5,1 (-)n0.5,0.5,n1.5,0.5,1 (1)n2.5,0.5,n3.5,0.5,1 (1)"
96,"0.5,3.5,n1.5,3.5,n2.5,3.5,n3.5,3.5,n0.5,2.5,1 (1)n1.5,2.5,1 (-)n2.5,2.5,1 (-)n3.5,2.5,1 (-)n0.5,1.5,n1.5,1.5,1 (-)n2.5,1.5,1 (-)n3.5,1.5,1 (-)n0.5,0.5,n1.5,0.5,1 (-)n2.5,0.5,1 (-)n3.5,0.5,"
97,"0.5,3.5,n1.5,3.5,n2.5,3.5,n3.5,3.5,n0.5,2.5,1 (1)n1.5,2.5,1 (-)n2.5,2.5,1 (-)n3.5,2.5,1 (-)n0.5,1.5,n1.5,1.5,1 (-)n2.5,1.5,1 (-)n3.5,1.5,1 (-)n0.5,0.5,1 (1)n1.5,0.5,n2.5,0.5,n3.5,0.5,1 (1)"
98,"0.5,3.5,n1.5,3.5,n2.5,3.5,n3.5,3.5,n0.5,2.5,1 (1)n1.5,2.5,1 (-)n2.5,2.5,1 (-)n3.5,2.5,1 (-)n0.5,1.5,n1.5,1.5,1 (-)n2.5,1.5,1 (-)n3.5,1.5,1 (-)n0.5,0.5,1 (1)n1.5,0.5,n2.5,0.5,1 (1)n3.5,0.5,"
