27,9 88 120
26,10 84 107
25,11 81 90
24,12 78 86
23,13 75 79
22,14 72 77
21,15 69 76
20,16 66 73
19,17 64 70
18,18 62 71
17,19 62 69
16,20 62 67
15,21 62 68
14,22 62 66
13,23 62 64
12,24 62 66
11,25 62 68
10,26 62 76
9,27 62 120
27,8 84 120
26,9 76 120
25,10 73 83
24,11 70 79
23,12 67 77
22,13 64 72
21,14 62 71
20,15 60 67
19,16 58 66
18,17 57 67
17,18 57 62
16,19 57 64
15,20 57 61
14,21 57 63
13,22 57 60
12,23 57 63
11,24 57 63
10,25 57 63
9,26 57 120
8,27 58 120
27,7 73 120
26,8 68 88
25,9 65 77
24,10 62 75
23,11 60 71
22,12 58 69
21,13 56 67
20,14 54 64
19,15 53 61
18,16 52 61
17,17 52 60
16,18 52 58
15,19 52 58
14,20 52 57
13,21 52 55
12,22 52 58
11,23 52 54
10,24 52 57
9,25 52 58
8,26 53 61
7,27 54 120
27,6 65 120
26,7 61 71
25,8 58 71
24,9 56 72
23,10 54 67
22,11 52 63
21,12 50 61
20,13 49 59
19,14 48 57
18,15 47 56
17,16 47 56
16,17 47 54
15,18 47 52
14,19 47 53
13,20 47 56
12,21 47 52
11,22 47 54
10,23 47 54
9,24 48 54
8,25 48 57
7,26 49 58
6,27 50 120
27,5 57 120
26,6 54 120
25,7 52 58
24,8 52 60
23,9 48 61
22,10 48 60
21,11 47 55
20,12 46 55
19,13 43 52
18,14 42 54
17,15 44 51
16,16 44 47
15,17 44 52
14,18 44 50
13,19 44 49
12,20 44 48
11,21 44 48
10,22 44 50
9,23 44 50
8,24 45 50
7,25 46 49
6,26 47 120
5,27 48 120
27,4 53 120
26,5 50 65
25,6 48 62
24,7 46 54
23,8 44 57
22,9 43 50
21,10 42 52
20,11 41 52
19,12 40 48
18,13 39 49
17,14 39 49
16,15 39 46
15,16 39 46
14,17 39 46
13,18 39 48
12,19 39 46
11,20 39 47
10,21 39 46
9,22 39 46
8,23 40 48
7,24 41 49
6,25 42 52
5,26 43 52
4,27 45 120
27,3 49 120
26,4 46 120
25,5 44 61
24,6 42 53
23,7 41 55
22,8 40 51
21,9 39 49
20,10 38 41
19,11 37 46
18,12 36 45
17,13 36 45
16,14 36 42
15,15 36 44
14,16 36 42
13,17 36 42
12,18 36 43
11,19 36 43
10,20 36 41
9,21 36 43
8,22 37 43
7,23 38 44
6,24 39 44
5,25 40 47
4,26 41 120
3,27 43 120
27,2 45 120
26,3 42 52
25,4 40 50
24,5 39 50
23,6 38 45
22,7 37 46
21,8 36 46
20,9 35 44
19,10 34 41
18,11 33 42
17,12 33 40
16,13 33 40
15,14 33 40
14,15 33 40
13,16 33 41
12,17 33 39
11,18 33 39
10,19 33 39
9,20 33 40
8,21 34 40
7,22 35 41
6,23 36 41
5,24 37 44
4,25 38 41
3,26 39 45
2,27 41 120
27,1 41 120
26,2 38 120
25,3 37 46
24,4 36 43
23,5 35 42
22,6 34 42
21,7 33 40
20,8 32 40
19,9 31 37
18,10 30 38
17,11 30 37
16,12 30 40
15,13 30 38
14,14 30 37
13,15 30 37
12,16 30 38
11,17 30 35
10,18 30 37
9,19 30 37
8,20 31 34
7,21 32 38
6,22 33 37
5,23 34 38
4,24 35 39
3,25 36 43
2,26 37 120
1,27 39 120
27,0 37 120
26,1 35 120
25,2 34 43
24,3 33 41
23,4 32 37
22,5 32 40
21,6 30 36
20,7 29 36
19,8 28 35
18,9 27 35
17,10 27 35
16,11 27 35
15,12 27 35
14,13 27 35
13,14 27 33
12,15 27 34
11,16 27 33
10,17 27 35
9,18 27 35
8,19 28 33
7,20 29 35
6,21 30 35
5,22 31 36
4,23 32 37
3,24 33 36
2,25 34 41
1,26 35 120
0,27 37 120
26,0 34 41
25,1 33 38
24,2 32 38
23,3 31 37
22,4 30 37
21,5 29 34
20,6 28 36
19,7 27 34
18,8 26 33
17,9 26 33
16,10 26 31
15,11 26 33
14,12 26 31
13,13 26 32
12,14 26 31
