tiempo, vx, vy, vz
0.609924,1.1532,-0.421146,-0.167278
0.612922,1.15705,-0.428066,-0.169611
0.619922,1.16605,-0.441531,-0.169673
0.622914,1.16989,-0.447286,-0.167397
0.629923,1.1789,-0.460768,-0.167459
0.632914,1.1839,-0.466521,-0.173239
0.639923,1.1983,-0.480003,-0.175997
0.642916,1.20445,-0.48576,-0.174872
0.649918,1.21884,-0.499229,-0.19379
0.652922,1.22616,-0.503852,-0.197284
0.659925,1.24325,-0.517322,-0.197346
0.662914,1.24939,-0.523072,-0.204272
0.669922,1.26379,-0.53116,-0.209726
0.672924,1.26996,-0.536934,-0.207442
0.679922,1.28164,-0.545011,-0.212889
0.682915,1.28664,-0.548465,-0.217521
0.689923,1.29834,-0.556553,-0.209495
0.692921,1.3022,-0.561166,-0.211828
0.699932,1.31121,-0.571955,-0.233467
0.702949,1.31509,-0.575437,-0.231173
0.709953,1.32409,-0.58352,-0.220457
0.712955,1.32679,-0.58583,-0.226258
0.719953,1.33579,-0.591214,-0.218243
0.722944,1.34078,-0.594666,-0.211366
0.729935,1.34977,-0.600045,-0.224875
0.732935,1.35478,-0.6012,-0.22721
0.738026,1.36328,-0.605117,-0.219421
0.745037,1.37229,-0.610511,-0.22218
0.748046,1.37616,-0.611669,-0.223364
0.755047,1.38516,-0.614362,-0.204573
0.758044,1.38901,-0.616668,-0.204599
0.765046,1.39801,-0.619361,-0.207355
0.76804,1.40186,-0.621665,-0.201622
0.775045,1.41086,-0.627055,-0.196295
0.77804,1.41471,-0.628207,-0.198626
0.785048,1.42372,-0.633599,-0.198688
0.788039,1.42756,-0.6359,-0.197563
0.795044,1.43657,-0.64129,-0.20032
0.798046,1.44042,-0.6436,-0.202657
0.805038,1.4521,-0.64898,-0.197339
0.809046,1.45879,-0.652063,-0.19429
0.816043,1.47048,-0.654755,-0.194352
0.819036,1.47548,-0.655907,-0.193227
0.826046,1.48718,-0.6613,-0.193289
0.829045,1.49104,-0.663608,-0.193316
0.835036,1.49874,-0.665912,-0.193369
0.838042,1.50376,-0.667069,-0.191083
0.845044,1.51545,-0.672456,-0.188451
0.848038,1.52045,-0.673608,-0.191933
0.855048,1.53486,-0.676305,-0.194692
0.858046,1.54102,-0.679765,-0.193565
0.865047,1.5554,-0.687845,-0.2044
0.868041,1.56155,-0.6913,-0.210186
0.875045,1.57594,-0.699384,-0.210248
0.878044,1.58095,-0.701691,-0.212582
0.885048,1.58995,-0.70708,-0.212644
0.889048,1.5951,-0.711697,-0.209601
0.893047,1.60024,-0.716312,-0.209637
0.900043,1.61192,-0.721695,-0.209699
0.903037,1.61807,-0.723998,-0.209725
0.910047,1.63517,-0.732089,-0.209787
0.913046,1.64249,-0.734396,-0.212121
0.920047,1.65957,-0.739783,-0.220263
0.923036,1.66686,-0.742083,-0.221439
0.930046,1.68126,-0.747476,-0.226895
0.933038,1.68626,-0.749778,-0.229223
0.940047,1.69796,-0.755171,-0.226589
0.943037,1.70296,-0.757472,-0.225465
0.950041,1.71465,-0.762861,-0.230916
0.953045,1.72082,-0.766328,-0.232098
0.960045,1.73521,-0.774406,-0.234853
0.963035,1.7402,-0.776707,-0.238331
0.970045,1.75191,-0.784797,-0.243786
0.973048,1.75808,-0.789418,-0.243813
0.980044,1.77245,-0.797493,-0.243875
0.983048,1.77863,-0.80096,-0.246213
0.990051,1.79571,-0.809042,-0.240886
0.993046,1.80186,-0.812498,-0.242065
0.999047,1.8165,-0.819424,-0.249044
1.00303,1.82623,-0.825561,-0.252148
1.00904,1.83858,-0.832496,-0.256824
1.01304,1.84679,-0.837112,-0.258398
1.02005,1.86118,-0.845194,-0.255766
1.02304,1.86618,-0.84865,-0.255792
1.02905,1.87853,-0.855583,-0.253535
1.03298,1.88661,-0.860123,-0.25811
1.04005,1.90113,-0.868278,-0.263609
1.04304,1.90727,-0.871729,-0.264786
1.05004,1.92166,-0.879813,-0.272931
1.05305,1.92784,-0.882124,-0.276425
1.06005,1.94223,-0.887513,-0.279181
1.06304,1.94837,-0.890964,-0.279208
1.07005,1.96278,-0.896358,-0.281967
1.07305,1.96893,-0.899817,-0.283146
1.08005,1.98602,-0.907898,-0.283208
1.08296,1.992,-0.910138,-0.286594
1.08905,2.00452,-0.91717,-0.286648
1.09305,2.01426,-0.92178,-0.28361
1.10705,2.04302,-0.937934,-0.289118
1.11104,2.05123,-0.942547,-0.293767
1.11199,2.05318,-0.943641,-0.293775
1.11404,2.05739,-0.946792,-0.293793
1.12405,2.07796,-0.966051,-0.297734
1.12604,2.08205,-0.969879,-0.297751
1.12805,2.0854,-0.974516,-0.296996
1.13504,2.09708,-0.993345,-0.291678
1.13805,2.10326,-1.00145,-0.287075
1.14505,2.11765,-1.0203,-0.276365
1.14804,2.12495,-1.02606,-0.275239
1.15405,2.14422,-1.03992,-0.275293
1.15805,2.16012,-1.04761,-0.275328
1.16405,2.18401,-1.05685,-0.284622
1.16805,2.19992,-1.05993,-0.287733
1.17505,2.22237,-1.06531,-0.287795
1.17805,2.2297,-1.06877,-0.291287
1.18504,2.24138,-1.07954,-0.29404
1.18792,2.24396,-1.08617,-0.295171
1.195,2.25034,-1.09979,-0.289784
1.19791,2.25408,-1.10539,-0.283092
1.20501,2.26593,-1.12177,-0.283155
1.208,2.27325,-1.12869,-0.284335
1.214,2.29248,-1.14022,-0.289
1.218,2.30839,-1.14791,-0.29519
1.224,2.33459,-1.15946,-0.295243
1.228,2.35203,-1.16715,-0.298355
1.234,2.37589,-1.18099,-0.309941
1.239,2.39196,-1.19063,-0.319617
1.246,2.40902,-1.20408,-0.32237
1.249,2.41518,-1.2087,-0.32009
