tiempo, vx, vy, vz
0,0.000000,0.000000,0.000000
0.003133,0.006540,-0.001224,-0.002477
0.009905,0.023323,-0.001224,0.000109
0.014157,0.033861,-0.001224,0.001732
0.019888,0.048064,-0.003464,-0.007279
0.023259,0.056418,-0.004782,-0.012579
0.030177,0.073563,-0.007486,-0.015345
0.032984,0.079423,-0.008583,-0.013176
0.040000,0.094068,-0.008583,-0.013239
0.042978,0.099121,-0.008583,-0.014430
0.049997,0.108286,-0.008583,-0.017236
0.052985,0.112188,-0.008583,-0.018431
0.059991,0.121336,-0.008583,-0.013018
0.062983,0.125243,-0.009752,-0.010706
0.069992,0.137135,-0.009752,-0.016247
0.072992,0.143397,-0.009752,-0.019792
0.079987,0.160733,-0.012486,-0.017121
0.082986,0.168165,-0.012486,-0.014804
0.090274,0.186227,-0.015334,-0.020566
0.092998,0.192978,-0.016399,-0.025914
0.099992,0.210311,-0.019133,-0.034177
0.102983,0.216554,-0.021471,-0.031866
0.109992,0.231185,-0.024210,-0.020971
0.112991,0.235102,-0.025382,-0.023343
0.119992,0.244243,-0.025382,-0.031614
0.122982,0.248148,-0.026551,-0.031641
0.129992,0.257301,-0.032030,-0.034444
0.132981,0.261204,-0.034367,-0.036807
0.139992,0.273099,-0.037107,-0.025910
0.142983,0.279343,-0.039445,-0.023599
0.149986,0.293961,-0.044919,-0.037347
0.153993,0.303892,-0.049617,-0.042081
0.157992,0.313802,-0.054306,-0.040554
0.164992,0.328415,-0.059778,-0.040617
0.167985,0.334662,-0.062117,-0.041814
0.174993,0.349291,-0.070334,-0.041877
0.177991,0.355550,-0.073849,-0.041903
0.184996,0.367434,-0.079325,-0.041966
0.187987,0.372509,-0.081663,-0.043162
0.194991,0.384392,-0.089875,-0.032276
0.197977,0.389458,-0.093376,-0.031135
0.204928,0.401251,-0.104243,-0.039348
0.207993,0.407650,-0.107837,-0.041771
0.214988,0.424985,-0.113305,-0.033633
0.217991,0.432428,-0.114478,-0.033660
0.224993,0.449781,-0.119952,-0.044669
0.227985,0.457196,-0.122290,-0.044696
0.234993,0.471825,-0.125029,-0.044759
0.237993,0.476914,-0.127374,-0.047131
0.244992,0.488789,-0.132845,-0.044458
0.247992,0.493879,-0.135190,-0.040968
0.254994,0.505759,-0.140664,-0.046504
0.257996,0.512025,-0.143010,-0.050051
0.264989,0.526623,-0.148476,-0.055580
0.267992,0.532891,-0.149650,-0.056781
0.274993,0.547506,-0.152386,-0.054107
0.277992,0.553766,-0.154731,-0.055306
0.284996,0.568387,-0.160206,-0.063582
0.287986,0.574628,-0.162543,-0.067114
0.294993,0.589255,-0.170758,-0.069916
0.297983,0.595496,-0.174264,-0.072280
0.304992,0.610127,-0.179743,-0.066864
0.307986,0.616377,-0.182083,-0.064551
0.314988,0.630994,-0.187557,-0.072824
0.317992,0.636090,-0.191079,-0.077547
0.324993,0.647968,-0.199288,-0.072137
0.327987,0.653048,-0.202798,-0.066314
0.335993,0.666631,-0.212185,-0.066385
0.338982,0.671702,-0.214522,-0.068749
0.345993,0.686338,-0.222742,-0.071552
0.348992,0.691426,-0.226258,-0.076267
0.355993,0.706040,-0.231731,-0.076330
0.357984,0.710974,-0.232509,-0.071679
0.364988,0.725595,-0.235247,-0.069005
0.367991,0.731863,-0.236420,-0.076074
0.376993,0.747136,-0.243457,-0.097265
0.378982,0.751288,-0.245012,-0.097283
0.382991,0.759657,-0.246578,-0.097319
0.389992,0.774271,-0.249315,-0.105590
0.392992,0.780534,-0.249315,-0.106790
0.399928,0.795012,-0.252026,-0.112274
0.402984,0.800197,-0.253220,-0.118273
0.409993,0.812089,-0.255959,-0.121076
0.412993,0.818351,-0.255959,-0.117585
0.419992,0.832961,-0.255959,-0.120383
0.422984,0.839207,-0.255959,-0.125088
0.427991,0.849659,-0.255959,-0.132961
0.434993,0.864275,-0.255959,-0.138497
0.437994,0.870540,-0.255959,-0.138524
0.444993,0.885150,-0.258695,-0.146793
0.447927,0.891274,-0.259841,-0.150260
0.456995,0.906659,-0.266930,-0.160973
0.458983,0.910032,-0.269261,-0.161768
0.462991,0.918399,-0.273960,-0.157105
0.469993,0.930279,-0.279433,-0.151695
0.472993,0.935368,-0.281778,-0.152894
0.479991,0.947241,-0.284513,-0.152957
0.482994,0.951163,-0.288034,-0.154158
0.489986,0.960293,-0.296233,-0.156953
0.492993,0.964219,-0.299758,-0.156980
0.499929,0.975987,-0.310602,-0.143488
0.502984,0.981170,-0.314184,-0.139934
0.509993,0.995801,-0.325141,-0.142736
0.512992,1.003234,-0.329830,-0.140419
0.519993,1.020584,-0.338039,-0.137746
0.522984,1.027997,-0.341546,-0.140110
0.529995,1.045372,-0.349766,-0.142914
0.532994,1.051632,-0.352110,-0.144113
0.539999,1.060779,-0.352110,-0.155127
0.542984,1.063511,-0.352110,-0.158654
0.549990,1.069921,-0.354848,-0.153240
0.552994,1.072669,-0.357197,-0.150919
0.559995,1.076338,-0.362669,-0.153718
0.562985,1.079074,-0.366175,-0.151408
