tiempo, ax, ay, az
171.019899,126,126,152
171.024029,128,126,148
171.029885,130,126,156
171.039011,131,126,151
171.042111,132,124,146
171.044146,133,125,148
171.049958,133,123,153
171.053949,131,126,151
171.059975,130,126,154
171.063934,130,125,156
171.070041,128,125,150
171.074045,127,126,148
171.080046,126,127,156
171.084044,125,128,148
171.090040,126,128,150
171.094044,128,128,153
171.099959,129,127,148
171.107062,130,126,149
171.109047,131,124,149
171.115048,131,124,150
171.119046,131,126,153
171.125047,131,127,154
171.129038,130,124,151
171.135044,129,126,145
171.139045,129,127,148
171.145045,129,128,155
171.149030,128,128,151
171.155045,127,126,149
171.160047,126,127,148
171.164044,126,125,154
171.170046,127,127,154
171.174045,128,126,151
171.180045,129,126,156
171.184045,130,126,153
171.189918,130,126,146
171.193991,131,126,155
171.200001,131,126,152
171.203921,131,125,148
171.210000,130,125,153
171.213997,128,126,154
171.219996,127,127,149
171.224991,125,128,151
171.230996,125,126,154
171.234993,126,127,151
171.239998,126,128,149
171.245997,127,127,154
171.249993,128,128,154
171.254996,128,129,153
171.258996,128,126,156
171.265020,128,125,154
171.269002,128,125,145
171.274997,128,125,146
171.278996,129,127,156
171.284997,129,127,151
171.288997,129,127,141
171.294990,129,127,148
171.298997,128,128,155
171.304996,127,126,151
171.308997,127,127,150
171.314997,127,126,150
171.318990,127,129,150
171.324997,127,128,155
171.328997,128,127,153
171.334996,128,126,149
171.338997,129,127,150
171.344999,129,126,148
171.348996,129,127,147
171.354997,129,125,148
171.358996,129,125,153
171.364997,128,125,150
171.368997,128,126,149
171.374996,128,125,154
171.378997,127,124,154
171.384998,127,125,151
171.388997,129,125,151
171.394987,130,126,152
171.398993,130,127,147
171.404996,130,125,147
171.409005,129,126,156
171.414998,127,125,158
171.418991,126,126,154
171.424999,126,124,153
171.428998,126,126,153
171.434999,127,125,155
171.440000,128,127,156
171.444001,129,124,148
171.449936,130,125,150
171.454002,129,126,152
171.460000,128,126,153
171.464000,127,127,160
171.470001,126,127,157
171.474000,125,127,150
171.480000,125,129,151
171.484001,126,128,155
171.490000,127,129,158
171.493991,127,128,150
171.499938,128,127,148
171.503999,130,128,148
171.509996,130,127,148
171.514000,130,128,152
171.520001,129,127,150
171.524000,128,126,155
171.530000,127,125,156
171.533999,126,126,152
171.540000,126,127,155
171.543999,126,129,161
171.549996,127,127,155
171.553997,128,127,151
171.560003,129,127,152
171.563998,129,127,152
171.569998,128,129,152
171.573999,128,128,157
171.580000,128,127,157
171.583999,127,128,148
171.589999,128,129,152
171.593991,128,128,157
171.599998,128,129,153
171.603998,128,129,150
171.609972,129,129,151
171.615039,129,130,151
171.620956,129,131,149
171.624950,129,129,151
171.630953,129,129,156
171.634955,128,130,155
171.639956,128,129,148
171.643957,129,129,153
171.649956,128,130,153
171.653957,128,130,151
171.659957,129,129,154
171.666964,129,128,148
171.668957,129,128,148
171.674958,129,127,152
171.678955,128,127,149
171.684957,127,126,149
171.688960,127,127,153
171.694950,126,127,150
171.698954,127,127,150
171.704957,129,128,153
171.708957,129,129,152
171.714958,129,129,146
171.718954,130,130,150
171.724960,130,131,153
171.728960,129,131,152
171.734959,129,132,164
171.738958,126,134,167
171.744959,123,132,156
171.748959,122,134,152
171.754957,122,133,163
171.758959,123,135,164
171.764960,125,134,152
171.768960,128,134,153
171.774958,130,133,153
171.778956,131,132,144
171.784952,131,132,146
171.788958,131,131,144
171.794953,129,134,145
171.798951,127,133,151
171.804959,125,134,158
171.808959,124,132,156
171.814958,123,134,153
171.818954,123,134,152
171.826959,124,134,156
171.829958,126,135,161
171.834957,127,134,155
171.838960,128,132,148
171.844960,129,132,145
171.848959,131,131,142
171.854958,131,131,147
171.858958,131,131,150
171.864960,130,130,146
171.868958,127,130,145
171.874962,125,133,151
171.878959,123,133,163
171.884954,123,134,157
171.888958,125,137,149
171.894874,127,139,148
171.898922,128,137,148
171.904927,127,137,147
171.908926,127,136,151
171.914926,127,137,156
171.918923,129,136,156
171.924928,132,136,151
171.928927,133,134,149
171.934925,134,133,148
171.938927,133,134,148
171.944926,132,135,153
171.948926,131,132,150
171.954926,129,131,143
171.958925,126,134,144
171.964927,121,135,151
171.968921,120,135,160
171.974925,121,134,156
171.978926,124,135,149
171.984932,126,137,147
171.988926,128,137,150
171.994914,129,137,149
171.998919,129,134,150
172.004927,129,134,154
172.008925,129,135,145
172.014921,128,135,147
172.019926,127,135,152
172.024964,126,134,148
172.028959,125,134,149
172.034966,124,136,152
172.038960,123,136,151
172.044961,124,136,152
172.048959,127,136,157
172.054961,128,134,153
172.058959,127,135,148
172.064958,127,137,149
172.068955,127,135,158
172.074964,127,134,158
172.078959,126,134,149
172.084940,126,135,148
172.088960,125,134,148
172.094964,125,133,150
172.098954,124,134,152
172.105965,124,134,161
172.109961,124,132,154
172.115887,125,132,143
172.120008,126,135,149
172.126005,127,135,162
172.129993,127,136,157
172.134913,127,135,146
172.139001,127,134,152
172.145003,127,133,156
172.149003,126,134,155
172.155001,126,136,152
172.159002,125,134,154
172.165003,125,135,153
172.168995,124,134,151
172.175003,125,132,154
172.179002,125,135,155
172.185044,125,133,153
172.189003,125,132,158
172.203001,125,134,157
172.206001,124,134,155
172.207880,124,133,158
172.208939,125,134,158
172.218979,126,131,154
172.220953,128,133,157
172.223920,129,132,153
172.229955,129,132,148
172.233960,129,134,147
172.239966,129,131,153
172.243963,129,130,155
172.249961,128,131,150
172.253952,128,131,149
172.259961,128,130,155
172.263961,127,133,158
172.269956,126,132,152
172.273961,125,134,151
172.279963,125,131,158
172.283961,127,132,155
172.291962,128,133,155
172.294952,128,132,151
172.299950,129,133,150
172.303963,129,134,149
172.309961,130,132,156
172.313961,129,131,154
172.319959,128,131,148
172.323960,128,132,149
172.329961,128,132,158
172.333962,128,132,155
172.339968,127,133,149
172.343961,127,133,154
