tiempo, ax, ay, az
234.764263,127,127,152
234.767249,127,127,150
234.774371,128,127,149
234.777646,128,126,147
234.784519,128,126,147
234.787271,127,127,154
234.794286,127,127,153
234.797278,127,128,150
234.801285,127,127,149
234.807286,127,126,147
234.811250,127,126,153
234.817335,128,127,155
234.821319,128,127,151
234.827312,129,127,148
234.831316,130,125,150
234.837318,130,125,151
234.841319,131,124,148
234.847316,131,124,148
234.851311,130,123,152
234.859437,128,124,155
234.862410,127,122,153
234.869411,126,124,155
234.872406,125,123,153
234.879406,126,124,152
234.882412,127,124,154
234.890416,129,125,155
234.893417,130,125,152
234.897412,131,125,151
234.901416,131,126,153
234.907415,131,125,153
234.911410,130,126,153
234.925412,128,126,154
234.928407,127,126,154
234.929403,126,127,154
234.940417,125,127,152
234.943417,125,128,152
234.944415,126,127,150
234.949415,127,126,155
234.952410,128,125,153
234.956408,128,125,150
234.962406,128,126,147
234.966416,128,127,151
234.972412,127,127,157
234.976435,127,127,155
234.982358,127,126,151
234.986395,127,126,151
234.992410,127,126,153
234.996414,128,126,153
235.002409,129,125,152
235.006413,129,125,154
235.012410,129,124,150
235.016414,128,126,150
235.022414,128,126,157
235.026441,127,125,156
235.032414,126,125,150
235.036414,126,126,151
235.042414,127,127,159
235.046367,127,126,156
235.052414,128,124,151
235.056412,128,124,148
235.062406,130,124,150
235.066415,130,125,150
235.072411,131,126,150
235.076411,130,127,150
235.082410,128,126,151
235.086348,127,126,154
235.092415,126,125,153
235.096416,125,127,154
235.102414,126,128,158
235.106414,126,127,152
235.112413,128,126,150
235.116417,130,126,147
235.122413,131,126,150
235.126413,131,126,151
235.132414,130,126,151
235.136408,129,124,155
235.142408,127,125,157
235.146417,126,124,147
235.152413,125,126,151
235.156416,126,126,155
235.162412,127,124,151
235.166416,129,125,150
235.172416,130,125,152
235.176415,130,126,150
235.182411,130,125,148
235.186415,129,126,153
235.192416,128,127,155
235.196410,127,127,150
235.202415,127,127,150
235.206419,126,127,151
235.212409,127,126,156
235.216414,127,128,155
235.222414,127,126,148
235.226412,129,127,152
235.232418,130,127,153
235.236412,130,125,149
235.242422,129,125,148
235.246410,128,124,150
235.252414,128,125,149
235.256417,127,124,147
235.262408,128,124,153
235.266416,128,125,154
235.272417,128,126,148
235.276415,128,124,149
235.282411,128,125,153
235.287424,128,126,153
235.293412,129,127,151
235.297415,129,126,148
235.304416,128,125,146
235.307406,127,125,150
235.312414,127,124,154
235.316417,127,124,156
235.322419,127,124,153
235.326416,128,124,150
235.332413,127,124,151
235.336417,126,125,153
235.342880,127,126,157
235.346303,127,126,153
235.352408,129,126,152
235.356414,129,127,147
235.362416,129,127,146
235.366415,129,127,150
235.372415,128,128,154
235.379410,126,127,153
235.381440,126,128,150
235.387415,125,128,154
235.391409,125,129,155
235.397419,126,128,153
235.401417,127,129,156
235.407415,127,128,153
